Chimp,Facility,Zoo/not zoo,Sex
Africa,Mona,not zoo,F
Bea,Mona,not zoo,F
Bongo,Mona,not zoo,M
Charly,Mona,not zoo,M
Cindy,Edinburgh,zoo,F
Coco,Mona,not zoo,F
David,Edinburgh,zoo,M
Edith,Edinburgh,not zoo,F
Emma,Edinburgh,zoo,F
Eva,Edinburgh,not zoo,F
Frek,Edinburgh,not zoo,M
Heleen,Edinburgh,not zoo,F
Juan,Mona,not zoo,M
Kilimi,Edinburgh,zoo,M
Kindia,Edinburgh,zoo,F
Lianne,Edinburgh,not zoo,F
Louis,Edinburgh,not zoo,M
Lucy,Edinburgh,zoo,F
Marco,Mona,not zoo,M
Nico,Mona,not zoo,M
Paul,Edinburgh,not zoo,M
Pearl,Edinburgh,not zoo,F
Qafzeh,Edinburgh,zoo,M
Rene,Edinburgh,not zoo,M
Sofie,Edinburgh,not zoo,F
Tico,Mona,not zoo,M
Tom,Mona,not zoo,M
Toni,Mona,not zoo,M
Victor,Mona,not zoo,M
Waty,Mona,not zoo,F
Liberius,Edinburgh,not zoo,M