chimpname,Chimp,Sire,Dam,Sex,DOB,DOPR,Age,Rater,Rater_ID,Ratersex,yearsknown,monthsknown,Zoo,Zooname,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp,DOSWBR,Moods,Social,Goals,Bechimp,HPQ,Based in information up to
Ricky,37,,,1,01/01/1961,05/10/2005,,117,A,1,5,1,34,Edinburgh,5,2,2,6,2,3,3,2,5,2,6,2,4,3,6,6,6,7,5,2,2,4,1,1,2,6,6,5,5,4,6,2,3,2,3,4,4,4,5,5,2,5,4,3,3,4,3,6,5,3,3,2,2,5,05/10/2005,3,3,5,4,54,
Ricky,37,,,1,01/01/1961,21/09/2005,,118,B,0,5,3,34,Edinburgh,5,1,2,4,1,4,2,4,4,1,6,4,3,5,4,5,4,7,7,1,2,5,1,1,1,7,3,5,5,2,4,3,4,1,5,5,4,5,4,4,3,3,4,4,1,2,3,4,5,5,4,4,1,4,21/09/2005,4,4,4,4,54,
Emma,208,L32,L29,0,15/08/1981,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,5,2,3,5,6,4,6,6,5,5,5,3,2,2,2,5,2,6,3,2,5,6,5,3,4,5,6,5,2,3,2,6,3,3,5,4,3,3,5,5,3,2,6,3,4,3,2,5,4,2,2,5,05/10/2005,4,5,6,5,54,
Emma,208,L32,L29,0,15/08/1981,25/07/2005,,120,C,0,15,0,34,Edinburgh,6,5,6,2,2,6,6,2,6,6,5,6,4,6,2,2,2,5,5,2,6,2,6,6,6,2,2,6,5,5,2,5,2,6,5,6,6,2,5,2,6,6,2,2,2,2,6,6,2,2,2,3,2,6,24/07/2005,6,6,6,5,54,
Qafzeh,323,,208,1,31/03/1992,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,4,2,2,4,3,6,5,6,4,6,3,4,2,2,4,4,3,2,5,3,6,6,3,2,2,6,4,3,2,3,2,5,6,4,3,3,3,2,5,3,3,5,3,2,5,2,3,3,3,2,3,6,05/10/2005,4,4,6,6,54,
Qafzeh,323,,208,1,31/03/1992,24/07/2005,,120,C,0,13,4,34,Edinburgh,6,5,5,2,6,2,6,2,2,6,6,6,3,2,2,2,6,2,2,6,6,2,6,6,6,2,2,6,6,2,2,5,2,6,4,6,6,2,4,4,6,4,2,2,2,4,2,2,2,2,2,4,5,6,24/07/2005,6,6,6,6,54,
Kindia,97BB04,,234,1,05/02/1997,05/10/2005,,117,A,1,5,1,34,Edinburgh,6,2,5,5,3,2,6,4,4,6,4,3,5,4,5,3,5,4,3,3,5,3,2,2,4,4,3,5,4,5,5,2,5,5,4,4,3,3,4,4,2,4,3,4,4,4,4,5,5,3,4,3,5,4,05/10/2005,4,3,5,5,54,
Kindia,97BB04,,234,1,05/02/1997,15/08/2005,,119,D,0,4,5,34,Edinburgh,7,3,5,3,4,1,7,1,2,2,5,4,7,3,2,6,7,1,7,7,7,7,1,2,4,7,7,5,5,6,6,4,7,1,1,5,4,1,2,6,2,6,6,2,7,1,1,7,4,1,2,1,7,5,15/08/2005,7,7,6,6,54,
Louis,224,,,1,01/01/1976,05/10/2005,,117,A,1,5,1,34,Edinburgh,2,6,6,3,3,2,5,3,4,4,5,3,5,3,2,3,2,2,3,4,4,4,5,5,4,3,3,5,4,5,2,2,2,5,3,4,5,3,5,4,4,6,4,4,4,2,4,4,3,3,3,2,3,5,05/10/2005,5,5,6,5,54,
Louis,224,,,1,01/01/1976,21/09/2005,,118,B,0,5,3,34,Edinburgh,4,4,5,3,3,1,4,3,4,5,5,5,4,3,3,4,4,5,5,4,3,4,5,4,3,4,4,5,5,4,3,3,4,5,3,3,4,5,3,4,5,4,5,5,4,4,5,3,5,4,3,3,3,4,21/09/2005,3,4,4,4,54,
David,138,CHI BS 74,138,1,02/03/1975,05/10/2005,,117,A,1,5,1,34,Edinburgh,4,5,5,3,3,5,3,4,4,4,4,4,3,4,3,3,3,4,5,3,4,3,4,5,3,4,3,3,4,3,2,5,2,3,3,4,5,3,3,3,3,4,5,4,3,2,4,3,3,4,3,3,2,5,05/10/2005,4,4,5,4,54,
David,138,CHI BS 74,138,1,02/03/1975,15/08/2005,,119,D,0,4,5,34,Edinburgh,4,7,6,3,3,1,4,1,1,1,4,1,6,2,1,5,4,2,2,4,4,4,4,4,6,4,5,4,3,3,2,5,6,2,1,6,6,1,4,7,3,6,6,4,4,1,2,5,2,3,1,2,2,6,15/08/2005,7,6,7,6,54,
Lucy,163,,33,0,11/11/1976,21/09/2005,,118,B,0,5,3,34,Edinburgh,5,3,4,5,3,1,5,3,4,5,3,3,4,4,4,5,3,3,5,4,3,4,3,3,5,4,5,5,5,4,4,2,5,4,4,4,3,1,4,3,5,4,5,4,3,5,4,5,4,5,3,3,3,3,21/09/2005,3,3,4,4,54,
Lucy,163,,33,0,11/11/1976,15/08/2005,,119,D,0,4,5,34,Edinburgh,5,7,7,1,3,1,6,1,5,5,4,2,6,1,1,3,3,2,5,6,3,3,5,5,6,3,5,5,5,6,1,4,4,6,2,6,7,1,3,7,7,6,5,2,5,2,1,3,1,6,1,1,2,6,15/08/2005,6,7,7,6,54,
Lucy,163,,33,0,11/11/1976,24/07/2005,,120,C,0,15,0,34,Edinburgh,1,7,4,1,2,1,1,1,7,2,2,4,1,2,2,1,1,3,1,1,2,1,5,2,4,2,1,2,6,2,2,2,2,6,6,6,6,6,6,2,6,2,2,6,2,6,2,2,2,2,4,4,2,6,24/07/2005,3,3,3,2,54,
Lyndsey,234,,51,0,24/12/1983,21/09/2005,,118,B,0,5,3,34,Edinburgh,6,3,5,3,3,1,4,3,3,3,5,3,4,4,5,3,3,4,5,4,4,3,1,1,5,4,3,5,3,4,5,3,5,3,3,5,5,3,5,4,2,5,3,4,4,3,3,4,5,3,3,4,3,3,21/09/2005,4,4,3,4,54,
Lyndsey,234,,51,0,24/12/1983,15/08/2005,,119,D,0,4,5,34,Edinburgh,6,5,6,2,2,1,6,1,4,4,5,3,5,2,3,5,4,2,5,6,4,4,2,2,4,5,5,5,5,6,3,4,5,5,2,6,5,2,4,6,6,6,5,1,6,1,1,5,1,2,1,1,6,7,15/08/2005,6,6,6,5,54,
Kilimi,360,,234,0,20/02/1993,21/09/2005,,118,B,0,5,3,34,Edinburgh,4,1,4,5,4,1,5,1,1,1,3,2,4,3,5,5,5,4,5,5,4,4,1,1,1,7,5,5,3,6,6,3,4,1,3,5,4,1,4,5,1,6,3,2,5,2,3,5,4,3,2,4,5,4,21/09/2005,4,5,3,5,54,
Kilimi,360,,234,0,20/02/1993,24/07/2005,,120,C,0,12,11,34,Edinburgh,6,2,2,6,2,1,6,1,1,1,4,2,1,6,1,1,1,1,1,3,1,1,1,1,1,4,1,6,1,6,1,1,1,7,2,2,7,1,6,6,6,1,1,1,3,1,6,1,2,1,1,2,1,7,24/07/2005,3,3,6,3,54,
Liberius,99AB04,,163,1,20/01/1999,21/09/2005,,118,B,0,5,3,34,Edinburgh,4,2,6,3,4,1,7,4,3,4,5,4,7,4,3,4,7,1,4,6,6,4,1,1,4,4,5,4,4,7,5,3,6,1,4,4,4,1,3,4,4,3,4,3,6,3,4,5,1,1,1,1,5,4,21/09/2005,7,6,5,6,54,
Liberius,99AB04,,163,1,20/01/1999,15/08/2005,,119,D,0,4,5,34,Edinburgh,2,2,4,2,4,1,6,1,1,1,2,3,6,4,1,6,7,2,2,6,7,4,1,1,4,7,7,2,2,6,2,6,6,1,2,6,6,1,2,6,1,5,2,4,5,2,1,7,1,1,2,1,7,4,15/08/2005,7,7,6,7,54,
Cindy,51,,,0,01/01/1964,15/08/2005,,119,D,0,4,5,34,Edinburgh,2,2,7,4,5,1,7,1,4,3,5,1,6,1,1,7,5,5,2,7,4,7,1,1,6,7,7,4,1,7,2,6,6,1,1,7,7,1,3,7,1,7,6,1,7,1,1,7,1,2,1,1,4,7,15/08/2005,7,7,7,7,54,
Cindy,51,,,0,01/01/1964,24/07/2005,,120,C,0,15,0,34,Edinburgh,2,4,7,6,3,6,6,1,1,1,7,1,4,1,1,1,1,7,4,6,1,6,1,1,6,6,6,3,1,6,4,6,3,1,1,6,6,1,6,6,6,7,6,6,6,1,1,6,1,3,1,6,6,6,24/07/2005,6,4,7,6,54,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bram,M86002,Isaac,Yoko,1,27/03/1986,24/04/2010,24,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,4,6,3,6,1,1,2,1,4,4,1,1,3,1,4,2,1,6,4,2,2,6,7,5,5,3,3,2,2,2,4,4,3,5,3,2,3,4,6,6,2,6,3,6,2,2,6,5,3,6,4,6,2,6,,3,3,3,3,54,17/03/2010
Claus,M93078,Frits,Eva,1,30/04/1993,24/04/2010,17,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,2,7,5,3,4,2,5,5,7,7,3,6,5,4,2,2,5,3,4,2,5,4,6,6,6,2,2,2,2,5,2,6,2,6,2,6,5,2,2,2,6,3,2,2,4,6,2,2,2,4,4,4,2,6,,5,3,6,6,54,17/03/2010
Edith,M96004,Frits,Eva,0,11/04/1996,24/04/2010,14,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,4,4,4,4,3,3,4,2,4,6,2,2,4,5,4,4,4,2,4,4,4,4,4,4,4,2,2,4,4,5,2,2,4,4,4,3,4,3,4,4,3,4,3,4,4,3,4,3,4,4,3,3,4,3,,6,5,6,4,54,17/03/2010
Eva,M80003,Jacob,Victoria,0,09/12/1980,24/04/2010,29,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,2,6,6,2,6,2,6,3,6,6,2,4,6,2,1,5,4,2,2,6,6,6,3,4,4,3,2,5,4,6,2,6,2,5,2,4,6,2,2,2,4,6,6,2,6,2,2,3,2,2,2,3,2,6,,7,7,7,5,54,17/03/2010
Frek,M93080,Frits,Sonja,1,21/10/1993,24/04/2010,16,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,2,3,5,3,3,5,5,3,4,4,4,4,4,4,2,4,5,3,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4,4,5,4,4,2,3,4,4,4,4,3,5,4,4,4,3,4,4,3,4,4,,6,7,5,5,54,17/03/2010
Heleen,M91069,David,Marlies,0,16/04/1991,24/04/2010,19,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,4,4,3,5,4,6,4,2,3,4,4,2,5,4,4,4,5,4,5,4,4,3,2,3,3,5,4,4,2,3,4,3,4,4,5,3,2,6,5,5,2,4,3,5,4,3,6,5,6,4,5,4,4,4,,3,4,3,1,54,17/03/2010
Lianne,M89002,Frits,Yoko,0,14/02/1989,24/04/2010,21,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,7,1,1,7,1,7,3,1,1,2,2,1,4,4,7,6,1,5,7,3,2,2,1,1,2,6,6,6,1,2,7,1,7,2,6,3,1,7,7,6,1,4,2,7,2,1,6,5,7,6,2,2,2,2,,2,2,2,1,54,17/03/2010
Paul,M93079,Frits,Sherry,1,08/05/1993,24/04/2010,17,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,2,6,4,2,6,2,4,2,6,3,3,4,6,3,2,6,4,2,3,4,6,5,4,3,5,3,3,2,2,4,2,6,6,2,2,6,6,3,4,2,3,6,5,3,4,3,2,5,2,2,2,4,2,6,,7,7,6,7,54,17/03/2010
Pearl,M71002,WILD,WILD,0,13/03/1969,24/04/2010,41,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,2,6,3,4,6,2,6,2,3,3,3,2,6,2,2,6,4,3,4,4,4,4,2,2,2,6,5,2,3,4,2,4,4,3,2,4,5,2,5,5,2,6,5,3,4,2,2,6,2,2,2,2,4,4,,7,7,7,7,54,17/03/2010
Rene,M93077,Billy,Agnetta,1,21/02/1993,24/04/2010,17,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,4,5,4,4,3,6,6,2,4,6,2,2,6,6,4,6,6,2,4,6,6,6,2,2,6,6,6,4,6,6,3,3,4,2,5,4,5,6,6,6,2,6,6,2,6,2,2,6,5,2,6,2,6,4,,6,6,5,6,54,17/03/2010
Sofie,M81021,Frits,Diana,0,22/11/1981,24/04/2010,28,Wouter Bruijn,,1,12,0,,Safaripark Beekse Bergen,6,2,2,6,2,6,4,2,2,2,4,2,5,6,6,6,4,2,6,4,3,4,2,2,2,6,5,5,2,4,6,2,6,2,4,4,2,6,6,6,2,4,4,6,4,2,4,6,6,2,2,2,4,2,,3,2,4,4,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bram,M86002,Isaac,Yoko,1,27/03/1986,,24,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,2,2,2,5,5,2,4,1,5,2,5,2,3,2,4,2,2,6,1,2,2,2,2,2,1,2,2,1,2,2,3,4,2,5,3,5,4,2,5,2,3,5,2,2,1,1,1,2,2,2,2,4,2,5,,5,4,4,3,54,17/03/2010
Claus,M93078,Frits,Eva,1,30/04/1993,,17,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,1,6,4,1,3,3,3,2,4,5,2,4,3,3,2,2,3,5,2,3,5,3,5,5,4,2,2,4,5,3,2,2,2,3,4,2,5,2,2,2,5,4,2,2,5,2,5,4,4,2,2,2,3,6,,5,5,6,5,54,17/03/2010
Edith,M96004,Frits,Eva,0,11/04/1996,,14,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,2,2,5,3,4,4,5,2,5,5,4,4,4,3,4,3,3,4,3,5,4,4,3,5,3,3,5,4,3,5,3,3,4,4,4,4,3,3,2,3,2,4,4,2,5,1,2,4,3,1,1,2,4,3,,5,5,4,4,54,17/03/2010
Eva,M80003,Jacob,Victoria,0,09/12/1980,,29,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,1,6,5,3,5,2,5,1,6,3,5,3,4,2,2,3,2,4,2,4,4,3,5,4,5,3,4,2,2,5,2,4,2,2,2,4,5,2,2,5,4,5,4,2,5,1,1,4,1,4,1,4,2,6,,6,6,6,6,54,17/03/2010
Frek,M93080,Frits,Sonja,1,21/10/1993,,16,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,2,4,5,5,4,2,4,1,1,1,2,1,4,2,2,4,5,2,1,3,4,4,2,1,6,4,4,5,1,4,2,3,3,2,1,4,4,2,4,4,3,5,2,1,4,1,1,5,3,1,1,3,3,4,,6,6,6,5,54,17/03/2010
Heleen,M91069,David,Marlies,0,16/04/1991,,19,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,6,1,2,5,1,6,4,2,4,5,3,2,3,6,6,3,2,5,5,2,2,2,5,5,1,3,2,6,6,2,5,1,6,5,5,2,1,5,4,2,4,2,2,6,2,1,4,3,6,1,4,1,2,3,,3,3,3,3,54,17/03/2010
Lianne,M89002,Frits,Yoko,0,14/02/1989,,21,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,5,1,4,5,1,6,2,2,2,5,5,1,3,2,6,5,2,5,5,2,2,4,1,2,2,5,4,6,5,3,6,1,6,5,6,3,1,4,4,4,2,4,2,6,2,5,6,3,6,2,2,1,2,2,,4,3,3,3,54,17/03/2010
Paul,M93079,Frits,Sherry,1,08/05/1993,,17,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,1,6,4,2,5,2,5,1,3,2,5,2,5,2,1,3,4,3,1,4,4,4,2,3,6,3,5,2,2,4,1,4,2,2,2,4,5,2,2,6,4,6,5,2,4,1,1,4,2,2,2,3,2,5,,6,6,6,6,54,17/03/2010
Pearl,M71002,WILD,WILD,0,13/03/1969,,41,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,1,5,4,4,5,2,4,1,3,2,4,2,5,2,1,4,3,2,1,5,4,4,2,2,4,5,5,1,2,5,3,5,2,2,1,4,4,2,2,5,3,5,4,2,5,1,1,6,2,2,1,2,2,4,,6,6,5,5,54,17/03/2010
Rene,M93077,Billy,Agnetta,1,21/02/1993,,17,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,3,5,3,3,3,3,6,3,2,3,5,3,5,5,3,4,5,3,6,5,5,4,4,3,3,4,5,5,3,5,3,3,5,3,4,3,3,3,3,4,2,2,4,2,5,2,2,5,4,2,4,2,3,5,,5,5,5,5,54,17/03/2010
Sofie,M81021,Frits,Diana,0,22/11/1981,,28,Jon Klein Hofmeijer,,1,3,0,,Safaripark Beekse Bergen,3,1,2,3,2,6,2,4,4,4,3,3,5,5,5,4,3,3,6,3,3,3,1,2,2,5,5,5,6,4,5,2,6,5,3,3,3,4,4,3,2,2,3,5,3,3,5,4,5,4,3,2,5,2,,4,3,4,3,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy,710701,WILD,WILD,0,01/01/1964,05/05/2010,46,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,5,3,4,4,3,4,5,1,2,1,6,1,2,5,4,4,4,7,5,6,3,7,1,1,3,7,3,2,2,7,6,2,5,1,1,5,6,2,6,4,1,7,5,2,6,1,1,5,4,3,2,2,4,5,,6,3,4,4,54,17/03/2010
David,750301,unknown,Liza,1,02/03/1975,05/05/2010,35,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,2,5,4,3,6,3,4,1,4,3,2,1,3,3,1,2,3,4,2,4,2,3,3,4,4,5,3,2,2,4,3,5,3,2,3,4,4,1,4,4,3,4,5,4,3,1,1,4,2,3,2,3,4,3,,3,5,5,3,54,17/03/2010
Emma,91DA01,L32,L29,0,15/08/1981,05/05/2010,28,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,1,7,6,2,6,1,4,1,4,2,3,4,5,3,1,4,3,3,2,3,2,4,3,4,7,4,6,2,1,5,2,4,3,1,1,5,6,2,4,6,2,6,7,4,4,3,1,5,2,4,1,3,2,6,,6,5,4,6,54,17/03/2010
