chimpname,Chimp,Sire,Dam,Sex,DOB,DOPR,Age,Rater,Rater_ID,Ratersex,yearsknown,monthsknown,Zoo,Zooname,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp,DOSWBR,Moods,Social,Goals,Bechimp,HPQ,Based in information up to
Kilimi,93BB01,David,Lyndsey,0,20/02/1993,06/05/2010,17,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,2,3,5,4,6,1,3,1,2,2,5,1,5,2,4,4,5,6,4,6,3,4,1,1,3,7,4,2,2,5,5,5,4,1,2,4,5,3,3,5,1,5,3,3,5,2,1,4,3,4,1,3,4,4,,4,5,5,4,54,17/03/2010
Kindia,97BB04,David,Lyndsey,1,05/02/1997,06/05/2010,13,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,3,5,4,2,3,1,4,2,3,4,4,4,4,3,2,2,4,5,2,4,4,4,3,5,6,3,3,2,2,5,2,6,3,1,1,4,4,1,3,5,6,5,3,3,5,1,2,4,2,2,1,2,3,5,,5,5,6,4,54,17/03/2010
Liberius,99AB04 ,Tom,Lucy,1,20/01/1999,06/05/2010,11,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,5,2,5,3,3,1,6,3,4,6,5,5,4,3,2,3,4,3,3,4,5,3,4,3,2,4,2,5,4,5,4,2,5,3,3,3,3,2,2,3,5,4,3,4,3,4,3,4,3,2,4,1,5,3,,4,5,3,6,54,17/03/2010
Louis,820801,WILD,WILD,1,01/01/1973,07/05/2010,37,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,2,6,5,3,6,2,4,1,3,2,3,2,4,3,1,5,3,3,2,3,3,4,3,4,6,4,4,3,2,6,3,6,2,2,2,4,6,2,3,4,4,6,6,4,4,2,1,4,1,3,1,3,3,4,,6,5,6,6,54,17/03/2010
Lucy,761101,unknown,Jane,0,11/11/1976,08/05/2010,33,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,5,5,4,6,3,1,2,1,6,3,5,4,3,4,4,3,2,5,4,4,1,2,4,3,3,5,4,5,4,3,4,3,5,6,3,6,6,3,4,3,4,4,3,3,5,4,2,4,3,7,2,2,3,4,,3,4,5,2,54,17/03/2010
Lyndsey,831201,David,Cindy,0,24/12/1983,08/05/2010,26,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,3,4,5,3,5,1,3,2,4,3,5,3,3,5,5,4,3,5,3,4,4,3,2,3,4,4,5,3,3,4,4,4,4,4,3,4,5,2,5,5,4,4,7,3,4,2,3,4,3,2,2,4,3,5,,4,4,4,4,54,17/03/2010
Qafzeh,92CB04,unknown,Emma,1,31/03/1992,08/05/2010,18,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,3,7,6,6,4,1,5,2,6,6,4,6,5,6,4,3,5,3,3,1,4,2,7,6,3,3,3,3,3,3,2,4,3,1,5,5,5,2,4,3,4,3,4,5,2,1,3,3,3,2,2,3,3,4,,6,4,5,3,54,17/03/2010
Ricky,660401,WILD,WILD,1,01/01/1961,08/05/2010,49,Betsy Herrelko,,0,2,0,34,Edinburgh Zoo,6,2,2,6,3,5,4,6,2,2,7,1,2,7,5,4,3,7,6,1,3,4,1,2,2,7,1,5,3,2,6,4,7,1,4,6,5,3,7,3,1,4,4,6,2,2,3,3,2,5,4,1,3,3,,5,5,4,6,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy,710701,WILD,WILD,0,01/01/1964,19/07/2010,46,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,6,2,6,3,3,2,5,3,4,2,6,3,2,2,4,4,3,6,5,5,3,5,1,1,2,5,3,3,3,6,6,4,5,5,2,5,6,2,4,4,3,7,3,1,6,2,2,3,5,4,2,2,4,5,,4,5,6,5,54,17/03/2010
David,750301,unknown,Liza,1,02/03/1975,19/07/2010,35,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,3,4,5,4,3,2,4,2,3,4,3,2,4,3,3,4,4,2,3,4,4,4,3,4,3,5,5,5,3,3,3,3,4,3,4,4,3,2,4,3,2,4,4,3,3,2,2,4,5,3,3,3,4,3,,4,5,5,4,54,17/03/2010
Emma,91DA01,L32,L29,0,15/08/1981,19/07/2010,28,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,2,6,6,4,6,1,6,1,3,2,5,2,5,2,1,5,4,2,2,6,4,4,4,4,2,4,5,3,3,5,1,5,3,2,2,3,5,2,3,5,3,6,6,3,6,2,2,5,2,2,1,2,2,6,,5,4,6,6,54,17/03/2010
Kilimi,93BB01,David,Lyndsey,0,20/02/1993,19/07/2010,17,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,4,3,5,3,3,3,4,3,5,3,6,2,3,4,2,3,5,6,3,4,2,2,2,2,3,5,4,5,4,4,4,6,4,3,5,4,4,3,4,5,2,5,3,2,5,1,4,4,3,5,4,3,5,6,,6,6,6,5,54,17/03/2010
Kindia,97BB04,David,Lyndsey,1,05/02/1997,19/07/2010,13,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,3,6,4,6,4,1,4,2,3,3,5,4,4,6,3,3,4,5,3,5,6,3,5,5,3,4,4,5,5,2,3,3,3,4,3,3,4,2,3,4,5,4,3,4,5,2,3,4,3,2,4,2,4,5,,5,4,6,5,54,17/03/2010
Liberius,99AB04 ,Tom,Lucy,1,20/01/1999,19/07/2010,11,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,6,2,5,6,2,1,5,2,4,4,6,5,6,5,3,2,7,2,4,5,6,3,4,4,4,4,5,5,6,5,5,5,4,3,3,2,5,2,3,3,5,5,3,3,6,3,4,5,3,2,2,1,5,5,,6,6,5,6,54,17/03/2010
Louis,820801,WILD,WILD,1,01/01/1973,19/07/2010,37,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,3,5,2,4,3,1,5,3,4,5,5,4,4,3,1,3,4,3,3,6,5,4,6,5,4,3,4,4,4,5,2,5,3,5,3,3,5,2,4,3,5,5,3,3,4,2,2,4,3,3,2,2,3,5,,5,3,5,4,54,17/03/2010
Lucy,761101,unknown,Jane,0,11/11/1976,19/07/2010,33,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,5,5,7,4,3,1,3,2,6,6,7,3,4,2,3,4,2,4,6,4,3,2,4,3,5,4,4,3,2,3,4,4,3,5,3,4,6,2,3,4,4,4,5,2,3,3,2,4,5,6,2,3,4,5,,3,3,4,3,54,17/03/2010
Lyndsey,831201,David,Cindy,0,24/12/1983,19/07/2010,26,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,4,4,6,5,3,1,4,1,2,4,4,2,4,3,5,3,3,4,5,6,6,4,3,4,3,4,5,5,5,5,5,3,4,5,3,3,6,2,3,3,5,6,5,3,4,1,4,4,4,1,2,3,2,5,,5,3,5,4,54,17/03/2010
Qafzeh,92CB04,unknown,Emma,1,31/03/1992,19/07/2010,18,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,3,6,4,6,2,1,4,4,4,2,5,4,6,5,4,3,4,3,3,2,4,3,6,6,3,4,5,6,5,3,2,3,2,3,3,5,5,2,3,4,4,4,5,4,4,2,3,5,4,2,3,3,3,4,,5,3,6,4,54,17/03/2010
Ricky,660401,WILD,WILD,1,01/01/1961,19/07/2010,49,Sarah Gregory,,0,3,0,34,Edinburgh Zoo,2,2,3,4,3,5,4,5,3,1,6,2,6,6,5,5,5,5,7,1,2,4,2,1,2,6,6,6,5,4,4,2,5,2,4,4,4,2,4,4,1,3,4,4,2,3,2,6,4,3,4,2,3,4,,4,5,6,6,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy,710701,WILD,WILD,0,01/01/1964,21/07/2010,46,Sarah Romer,,0,2,1,34,Edinburgh Zoo,6,2,2,5,5,3,6,2,5,2,6,2,2,2,6,5,4,7,6,6,5,4,1,4,5,4,1,4,3,6,4,3,6,4,3,6,5,3,4,5,3,6,5,2,6,3,5,4,4,5,3,4,3,2,,4,2,3,3,54,17/03/2010
David,750301,unknown,Liza,1,02/03/1975,21/07/2010,35,Sarah Romer,,0,2,1,34,Edinburgh Zoo,3,5,3,4,3,1,5,2,2,2,4,4,5,5,4,5,2,2,3,4,4,6,3,5,6,6,4,3,2,5,5,5,6,3,3,5,4,5,4,6,3,6,6,3,5,3,4,5,4,3,2,4,3,3,,4,3,3,2,54,17/03/2010
Emma,91DA01,L32,L29,0,15/08/1981,21/07/2010,28,Sarah Romer,,0,2,1,34,Edinburgh Zoo,3,6,4,3,5,1,3,2,3,5,6,4,5,3,3,6,3,2,5,3,5,5,4,6,5,4,5,3,4,4,1,5,5,4,3,5,5,1,2,6,3,6,7,4,4,2,2,5,2,2,2,4,2,5,,4,3,6,4,54,17/03/2010
Kilimi,93BB01,David,Lyndsey,0,20/02/1993,21/07/2010,17,Sarah Romer,,0,2,1,34,Edinburgh Zoo,5,1,5,7,6,1,6,6,4,2,6,3,2,5,4,2,4,6,6,3,4,2,1,1,3,5,4,2,6,5,6,6,4,3,6,6,3,6,5,4,1,6,3,2,6,5,4,4,2,5,4,4,3,3,,4,5,5,5,54,17/03/2010
Kindia,97BB04,David,Lyndsey,1,05/02/1997,21/07/2010,13,Sarah Romer,,0,2,1,34,Edinburgh Zoo,5,5,6,2,3,1,5,6,2,3,6,6,3,5,6,3,2,4,4,5,5,4,5,6,7,5,3,4,5,3,3,4,2,5,3,4,5,6,5,3,5,4,3,3,5,4,5,4,3,2,2,3,3,6,,4,4,5,4,54,17/03/2010
Liberius,99AB04 ,Tom,Lucy,1,20/01/1999,21/07/2010,11,Sarah Romer,,0,2,1,34,Edinburgh Zoo,3,4,3,4,5,1,6,5,2,3,4,3,6,3,4,2,5,3,3,5,6,5,6,6,4,3,2,6,5,5,3,5,6,3,2,4,5,4,6,4,4,2,2,5,4,3,5,4,3,2,4,2,5,3,,5,5,5,5,54,17/03/2010
Louis,820801,WILD,WILD,1,01/01/1973,21/07/2010,37,Sarah Romer,,0,2,1,34,Edinburgh Zoo,4,6,6,2,4,1,6,4,4,3,5,6,5,4,6,6,5,3,4,5,6,6,6,6,7,3,6,6,7,6,2,4,6,5,3,5,6,2,2,6,6,5,4,4,5,4,3,6,2,2,2,4,3,6,,4,4,6,5,54,17/03/2010
Lucy,761101,unknown,Jane,0,11/11/1976,21/07/2010,33,Sarah Romer,,0,2,1,34,Edinburgh Zoo,5,4,3,5,3,1,6,4,6,6,3,2,4,3,6,2,2,4,5,6,2,2,4,5,5,4,2,5,5,5,5,3,5,5,5,4,3,4,3,3,3,5,4,2,3,4,3,3,2,6,5,4,3,2,,4,3,5,3,54,17/03/2010
Lyndsey,831201,David,Cindy,0,24/12/1983,21/07/2010,26,Sarah Romer,,0,2,1,34,Edinburgh Zoo,5,4,2,5,2,2,4,2,2,4,3,2,5,3,6,5,2,4,5,5,4,4,2,4,5,6,6,3,2,2,6,3,5,6,3,4,4,5,5,5,2,6,4,3,5,3,3,5,2,4,2,4,3,4,,4,5,4,5,54,17/03/2010
Qafzeh,92CB04,unknown,Emma,1,31/03/1992,21/07/2010,18,Sarah Romer,,0,2,1,34,Edinburgh Zoo,3,6,5,2,6,1,4,3,5,3,6,6,4,6,6,4,3,4,6,3,5,4,6,6,7,4,4,5,6,4,2,2,7,3,2,4,5,2,5,6,7,5,3,6,2,6,5,4,4,3,6,4,3,6,,4,5,5,3,54,17/03/2010
Ricky,660401,WILD,WILD,1,01/01/1961,21/07/2010,49,Sarah Romer,,0,2,1,34,Edinburgh Zoo,5,1,1,7,7,2,2,2,4,2,6,2,5,6,7,4,5,6,4,1,1,2,1,3,3,7,4,3,3,1,6,3,6,2,7,3,2,6,7,2,4,2,4,2,1,2,3,2,3,6,2,4,1,3,,4,4,3,4,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy,710701,WILD,WILD,0,01/01/1964,29/10/2010,46,Jo Richardson,,0,9,3,34,Edinburgh Zoo,5,2,4,6,5,1,6,1,2,1,1,1,5,1,3,5,2,6,5,7,3,6,1,1,2,7,4,6,1,7,6,3,6,1,1,6,6,3,6,7,1,6,4,1,7,1,1,5,1,3,1,6,3,6,,5,4,3,4,54,17/03/2010
David,750301,unknown,Liza,1,02/03/1975,29/10/2010,35,Jo Richardson,,0,9,3,34,Edinburgh Zoo,5,4,4,5,5,3,3,1,5,2,1,1,3,5,4,3,2,4,5,3,3,6,4,4,5,5,4,2,1,5,4,5,5,2,1,7,6,3,6,6,3,6,5,5,3,1,1,5,1,2,1,4,3,6,,4,5,5,4,54,17/03/2010
Emma,91DA01,L32,L29,0,15/08/1981,29/10/2010,28,Jo Richardson,,0,9,3,34,Edinburgh Zoo,2,6,5,3,7,1,7,1,2,2,2,1,6,1,1,6,3,1,5,7,4,7,3,3,7,6,6,1,1,6,1,6,2,1,1,7,7,1,7,7,1,7,6,1,5,1,1,5,1,3,1,5,3,7,,6,7,7,7,54,17/03/2010
Kilimi,93BB01,David,Lyndsey,0,20/02/1993,29/10/2010,17,Jo Richardson,,0,9,3,34,Edinburgh Zoo,3,1,3,5,4,1,4,1,2,1,1,1,3,1,4,4,4,5,4,4,5,6,1,1,3,7,4,3,2,4,5,3,5,2,2,6,5,3,5,6,2,6,2,3,5,1,1,5,3,1,1,6,5,4,,4,4,3,4,54,17/03/2010
Kindia,97BB04,David,Lyndsey,1,05/02/1997,29/10/2010,13,Jo Richardson,,0,9,3,34,Edinburgh Zoo,4,5,6,2,4,1,5,1,2,4,5,3,6,5,1,5,7,2,6,6,7,6,4,5,7,4,6,3,1,3,2,5,3,2,1,6,7,1,6,6,5,6,4,2,3,1,1,5,1,1,1,4,4,5,,6,5,6,7,54,17/03/2010
Liberius,99AB04 ,Tom,Lucy,1,20/01/1999,29/10/2010,11,Jo Richardson,,0,9,3,34,Edinburgh Zoo,3,3,6,2,5,1,6,1,3,2,1,3,7,2,1,5,7,2,3,6,7,6,4,4,6,4,6,2,1,7,3,5,4,1,1,6,7,1,1,6,5,5,3,1,7,1,2,4,2,1,1,1,3,5,,7,5,4,7,54,17/03/2010
Louis,820801,WILD,WILD,1,01/01/1973,29/10/2010,37,Jo Richardson,,0,9,3,34,Edinburgh Zoo,1,5,5,3,7,1,6,1,4,4,2,2,7,5,1,6,5,1,2,5,5,7,3,3,7,4,6,3,1,3,3,7,3,2,1,7,6,1,6,7,1,7,6,2,4,1,1,4,1,1,1,6,2,6,,6,5,6,7,54,17/03/2010
Lucy,761101,unknown,Jane,0,11/11/1976,29/10/2010,33,Jo Richardson,,0,9,3,34,Edinburgh Zoo,5,4,3,4,4,1,5,1,6,2,1,2,6,2,3,4,2,2,4,5,3,6,2,3,5,5,6,4,3,6,4,4,4,3,1,6,5,2,7,7,2,7,4,4,3,4,1,5,2,6,1,4,4,5,,6,6,6,6,54,17/03/2010
Lyndsey,831201,David,Cindy,0,24/12/1983,29/10/2010,26,Jo Richardson,,0,9,3,34,Edinburgh Zoo,4,1,3,6,5,1,4,1,1,1,2,1,5,4,4,6,3,5,5,4,5,6,1,1,3,7,4,3,2,6,6,4,6,2,2,7,7,4,7,6,1,7,5,4,5,1,1,4,1,3,1,6,4,4,,5,5,4,4,54,17/03/2010
Qafzeh,92CB04,unknown,Emma,1,31/03/1992,29/10/2010,18,Jo Richardson,,0,9,3,34,Edinburgh Zoo,4,6,4,3,3,1,5,1,5,5,6,3,5,4,3,2,5,3,6,4,5,5,6,6,6,2,4,3,2,3,2,4,4,5,4,6,4,1,5,5,5,4,3,4,2,1,3,3,1,3,2,3,2,6,,5,4,7,4,54,17/03/2010
Ricky,660401,WILD,WILD,1,01/01/1961,29/10/2010,49,Jo Richardson,,0,9,3,34,Edinburgh Zoo,5,1,2,6,3,5,3,4,1,1,5,1,4,6,6,6,7,5,3,2,2,6,1,1,1,7,7,5,4,4,6,1,6,2,1,6,2,2,5,6,1,3,4,4,2,3,2,5,3,4,3,3,2,4,,6,6,4,5,54,17/03/2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bram,M86002,Isaac,Yoko,1,27/03/1986,05/09/2010,24,Martijn Menting,,1,,,,Safaripark Beekse Bergen,4,5,3,5,6,3,2,5,6,3,7,5,4,3,2,3,2,4,3,3,4,3,6,6,3,5,5,4,3,2,2,6,5,6,4,6,4,5,5,4,4,2,4,5,3,5,2,4,3,6,3,6,2,6,,6,5,4,5,54,17/03/2010
Claus,M93078,Frits,Eva,1,30/04/1993,21/09/2010,17,Martijn Menting,,1,,,,Safaripark Beekse Bergen,4,6,5,3,4,2,5,2,6,5,3,4,6,2,1,4,4,2,2,5,4,5,5,5,6,4,6,5,4,6,2,5,4,4,1,3,4,2,2,5,2,6,6,2,5,2,5,6,3,4,1,1,5,5,,,,,,,17/03/2010
Edith,M96004,Frits,Eva,0,11/04/1996,21/09/2010,14,Martijn Menting,,1,,,,Safaripark Beekse Bergen,3,5,5,3,5,1,5,2,4,3,3,2,6,2,1,6,6,3,3,5,5,6,5,5,6,5,5,4,5,5,2,5,5,2,2,4,5,2,1,5,3,5,6,4,5,2,3,3,2,2,1,2,4,4,,,,,,,17/03/2010
Eva,M80003,Jacob,Victoria,0,09/12/1980,,29,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Frek,M93080,Frits,Sonja,1,21/10/1993,,16,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Heleen,M91069,David,Marlies,0,16/04/1991,,19,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Lianne,M89002,Frits,Yoko,0,14/02/1989,,21,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Paul,M93079,Frits,Sherry,1,08/05/1993,,17,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Pearl,M71002,WILD,WILD,0,13/03/1969,,41,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Rene,M93077,Billy,Agnetta,1,21/02/1993,,17,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010
Sofie,M81021,Frits,Diana,0,22/11/1981,,28,Martijn Menting,,1,,,,Safaripark Beekse Bergen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2010