"","chimp","Sex.x","DOB.x","fear.z","pers.z","caut.z","stbl.z","aut.z","stngy.z","jeals.z","reckl.z","soc.z","tim.z","symp.z","play.z","sol.z","actv.z","help.z","buly.z","aggr.z","manp.z","gntl.z","affc.z","exct.z","impl.z","inqs.z","subm.z","depd.z","irri.z","pred.z","decs.z","depr.z","sens.z","defn.z","intll.z","prot.z","invt.z","clmy.z","errc.z","frdy.z","lazy.z","dsor.z","unem.z","imit.z","indp.z","dom.z"
"1","Abby",0,"05/11/1995",4,5,5,4,1,1,1,1,5,5,3,7,1,6,1,1,1,1,4,6,1,1,5,4,4,1,4,4,NA,4,1,NA,1,4,1,NA,6,1,1,NA,2,2,2
"2","Ada",0,"01/01/1955",2,2,5,4,6,4,3,3,2,5,4,1,6,4,2,2,3,4,4,4,2,2,4,5,5,2,5,4,NA,3,2,NA,2,3,6,NA,2,6,6,NA,2,5,1
"3","Agatha",0,"1/21/1993",5,4,5,5,2,5,5,3,5,5,5,3,3,4,5,3,3,5,5,4,5,3,4,5,5,2,5,5,NA,5,5,NA,4,4,4,NA,4,3,5,NA,4,5,3
"4","Alice",0,"01/01/1961",4,5,4,4,2,5,4,2,3,4,5,5,6,4,3,3,5,4,4,4,4,4,4,3,4,4,6,4,NA,4,3,NA,4,5,4,NA,3,4,4,NA,5,5,5
"5","Alicia",0,"6/26/1989",1,3,6,4,1,5,4,2,5,6,4,3,4,5,3,5,5,6,4,2,5,2,4,3,5,5,5,4,NA,4,2,NA,4,3,2,NA,3,5,3,NA,4,3,5
"6","Amanda",0,"6/15/1991",4.5,4.5,4.5,4,4,2.5,3.5,3.5,5,1,4,2.5,5.5,3.5,4,1.5,2,6,4,4,4,6,4.5,6.5,7,5,5.5,2,5,5,3,5,3.5,1,3,5,4.5,3,3.5,4,6.5,4.5,1
"7","Amos",1,"11/19/1981",1,4,3,6,2,5,5,2,6,1,5,4,2,5,4,5,4,6,3,4,2,2,3,1,1,4,6,6,NA,4,1,NA,4,3,1,NA,4,2,1,NA,1,7,7
"8","Angela",0,"9/17/1971",5,5,5,5,5,5,4,1,3,6,4,2,6,3,4,2,1,4,5,5,2,2,2,6,5,4,4,3,NA,5,2,NA,4,1,6,NA,5,6,6,NA,4,4,6
"9","Anja",0,"01/09/1980",2,6,2,3,1,7,4,5,3,2,3,1,5,1,2,7,5,6,3,2,2,3,3,2,3,4,6,7,NA,2,5,NA,2,4,2,NA,3,5,2,NA,2,5,6
"10","Anna",0,"01/01/1955",4,3,6,6,3,5,4,5,2,5,1,1,7,2,2,2,1,2,6,2,2,2,3,6,5,5,6,6,NA,2,6,NA,2,4,6,NA,3,6,3,NA,4,7,2
"11","Artemus",1,"12/18/1990",2,6.5,1.5,2,2.5,7,6,5.5,4.5,2,2,5.5,4.5,6.5,2.5,6,6,4.5,2,4,6,5.5,5.5,1,2,4.5,4.5,5.5,1,3.5,5.5,4.5,2,6,2,5,4,1.5,3.5,2,4.5,7,7
"12","Arthur",1,"5/21/1991",3.5,6,4,2,2,4,6.5,4.5,5,3,3.5,4,2.5,7,4.5,4,4.5,5,3.5,4.5,7,4.5,4.5,3,3,4.5,5.5,3.5,3,3.5,3,2.5,3,3,3,5,4.5,2,4,2,3.5,4,4.5
"13","Artifact",1,"6/21/1979",6,5,6,4,1,3,4,3,2,6,4,2,5,2,3,3,3,2,4,3,4,3,2,4,4,4,5,3,NA,2,2,NA,3,3,5,NA,3,5,5,NA,2,4,2
"14","Artifee",0,"7/24/1976",4,4,4,4,2,4,3,2,4,5,5,3,4,3,5,1,1,5,5,4,4,3,4,2,3,2,6,5,NA,5,5,NA,4,4,5,NA,3,5,3,NA,4,5,5
"15","Atlanta",0,"08/10/1965",1,1,1,7,1,5,2,1,4,1,6,1,6,1,1,1,1,1,6,7,1,1,2,1,1,1,7,7,NA,6,1,NA,2,1,1,NA,7,7,1,NA,1,7,2
"16","Augusta",0,"08/01/1975",4.5,5.5,2,2.5,2,5,5,3,3.5,3.5,2.5,3,3.5,4,4,3,4.5,3.5,2.5,2.5,4.5,4,4,4,4.5,4.5,4.5,4.5,2,4,2.5,3.5,3.5,2.5,2,3.5,3,2.5,2,2.5,4.5,3.5,4.5
"17","Austin",1,"07/10/1974",4.5,5,4,6,1.5,4,4,2,7,1,6,6.5,1,5.5,6.5,4.5,2,6,6,6.5,4.5,1.5,6.5,3,3.5,1,5.5,6.5,1,4,3,7,5,7,1.5,1,7,1,1,1.5,6,6,4.5
"18","Azalea",0,"03/07/1997",1,2,3,4,1,1,1,1,5,2,4,5,1,4,1,1,1,1,4,4,2,2,4,2,4,1,3,2,NA,3,1,NA,2,3,2,NA,4,2,2,NA,3,4,1
"19","Barbara",0,"12/16/1972",2,2,6,6,1,1,2,1,5,1,4,1,5,1,4,2,1,3,6,6,1,1,4,3,2,4,6,4,NA,4,1,NA,5,3,1,NA,6,6,1,NA,4,4,3
"20","Barbi",0,"6/14/1976",4,2,5,4,1,4,2,2,2,5,3,2,5,2,2,2,2,2,3,2,2,2,3,5,5,2,5,3,NA,3,2,NA,2,2,2,NA,5,5,3,NA,2,2,2
"21","Barney",1,"05/06/1989",3,6.5,2.5,2.5,3.5,5.5,5.5,6,2.5,2.5,2,4,2.5,6,3,6,6,5,2,2,5.5,5.5,5,2,2,6,5,5,2.5,4.5,3,4.5,2.5,3.5,2,3.5,3,2,4,2,2,6,6
"22","Beleka",0,"01/01/1962",2,6,4.5,4.5,2.5,5,4.5,2.5,4,2.5,4.5,3.5,3,3.5,4.5,4.5,4.5,4,4,3.5,3,2.5,4.5,3,2.5,2.5,6.5,4.5,3.5,5,2,4,4,2.5,3,3,4,4,3.5,5,3,6,4
"23","Bertha",0,"03/05/1977",4,5,4,4,6,5,4,4,4,3,4,3,5,4,4,5,5,5,3,3,5,5,4,5,5,5,4,4,NA,4,5,NA,4,4,4,NA,4,4,4,NA,4,5,5
"24","Bjorn",1,"7/16/1988",3,2,4,3,1,2,2,2,4,3,4,4,4,3,3,2,3,2,4,4,3,2,4,4,4,2,4,4,NA,4,2,NA,4,4,1,NA,4,2,1,NA,4,4,2
"25","Bo",0,"01/01/1969",4.5,2.5,6,5.5,3,2,2.5,1.5,4.5,5.5,4,1.5,5.5,1.5,3,1.5,1.5,4,4.5,3.5,3,2.5,3,5.5,5,3.5,5.5,3,4.5,4,2,2.5,3.5,2,5.5,1.5,4,6,4.5,5,2.5,3,2.5
"26","Boisfeullet",1,"12/14/1971",2,3.5,5,4,3,3,3,4,1.5,5.5,3.5,1.5,5,4.5,3.5,4,3.5,2,4,4,4,4,2,3.5,2,2.5,5,3.5,4.5,3,3.5,3,3,2,3.5,3.5,4,4.5,3.5,4.5,2,4.5,3
"27","Boka",0,"11/11/1959",4.5,3,5,6,1.5,3,3,1.5,4,5,3,1.5,4.5,1.5,3.5,2,2,3.5,4,3.5,2.5,2.5,2.5,3,3.5,2.5,5.5,5,4,4.5,2,3,3,1.5,4.5,2,4,4.5,4.5,5,2.5,5,3
"28","Borie",0,"01/01/1964",1,5,3,6,1,3,2,1,6,1,5,3,2,4,4,5,1,2,5,5,2,3,6,2,2,1,5,5,NA,6,1,NA,6,6,2,NA,5,3,1,NA,1,6,7
"29","Brandy",0,"4/26/1985",3.5,5,4,4,3,5,5.5,4.5,4.5,4,3,4,3.5,4.5,3,4.5,4,5,4,3.5,5,5,4,2.5,3.5,5,2.5,4,3.5,4.5,4,3,4.5,4.5,4.5,4.5,3.5,2.5,5.5,3.5,3.5,4.5,5
"30","Brent",1,"1/20/1976",2,5,1,1,6,6,5,6,5,2,3,4,6,5,3,6,6,4,2,2,6,6,4,3,4,5,3,4,NA,3,5,NA,5,4,5,NA,4,4,5,NA,4,5,5
"31","Brian",1,"3/31/1979",2,5,2,3,1,6,6,5,2,5,3,2,6,3,2,5,5,2,2,2,5,5,3,3,5,5,6,3,NA,3,5,NA,4,2,5,NA,3,4,5,NA,2,5,4
"32","Brodie",1,"01/10/1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Brooks",1,"11/10/1992",4,5,3,4,6,4,5,4,4,2,4,7,1,7,5,4,3,4,6,6,5,5,6,1,1,1,7,4,NA,4,4,NA,5,6,1,NA,6,1,1,NA,4,4,5
"34","Buffy",0,"01/02/1984",5,1,6,2,6,2,2,1,2,6,3,2,7,1,5,1,2,2,5,2,6,2,1,7,2,2,2,4,NA,6,2,NA,1,1,1,NA,2,5,1,NA,2,2,1
"35","Callie",0,"2/18/1991",5,3.5,5.5,4.5,2.5,2,3.5,1.5,4.5,5.5,3.5,3,4.5,4.5,3.5,2.5,3,4.5,4.5,3,3,2,3.5,6.5,6,3,5.5,4.5,4,5,2,3.5,5,3,1.5,2,3.5,2,3.5,4.5,5,2,2
"36","Carl",1,"5/21/1986",3,5,3.5,4.5,3,3.5,3,3.5,4.5,2,5,3,3,4,5,3,2.5,4,4.5,4.5,5,2.5,4.5,4.5,3,2,4.5,4.5,3,5.5,4,4,4,4,3.5,2.5,5,4,3.5,3.5,4,4.5,4
"37","Carmichael",1,"3/21/1983",2.5,3.5,4.5,4,2.5,3.5,4,4,4.5,4.5,4,3.5,4.5,3.5,3.5,4,4,4,5,4.5,4,3.5,2,4,4.5,3,5,4,4.5,5,2,2,3.5,2,4.5,4,3.5,5,5.5,4,2.5,4,4
"38","Cathy",0,"10/05/1989",5,5,3,6,1,1,1,2,4,1,3,5,1,6,5,1,1,4,6,4,1,1,5,5,5,1,6,6,NA,5,4,NA,2,3,1,NA,7,1,2,NA,5,5,2
"39","Cheeta",0,"01/01/1957",2,5,2,2,4,6,5,5,4,3,2,2,5,4,3,5,6,5,3,2,5,5,4,3,2,6,3,4,NA,4,5,NA,3,4,4,NA,2,4,4,NA,4,6,5
"40","Cheri",0,"01/01/1955",4,1,6,5,6,2,2,2,2,6,2,1,7,3,1,2,2,2,5,1,4,2,3,7,6,6,4,5,NA,5,1,NA,1,2,6,NA,2,5,5,NA,3,3,1
"41","Chip",1,"03/30/1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Christa",0,"06/01/1995",6,5,6,3,1,4,5,3,3,5,3,4,4,4,4,2,2,5,5,5,3,2,6,6,6,2,4,4,NA,6,4,NA,3,4,5,NA,5,2,3,NA,5,3,1
"43","Cissie",0,"11/28/1976",6,3,4,3,6,2,3,4,3,4,4,3,5,3,4,4,3,3,4,5,5,6,2,3,3,4,3,4,NA,4,4,NA,5,2,1,NA,4,2,1,NA,3,5,4
"44","Claus",1,"12/25/1992",3,4,4,4,1,3,4,5,5,2,5,7,2,7,4,4,3,5,5,6,3,3,6,4,5,1,3,4,NA,5,3,NA,4,5,2,NA,5,1,3,NA,4,5,2
"45","Clint",1,"06/06/1980",1,6,5,3,1,6,5,2,5,2,2,7,3,6,4,6,5,5,3,3,6,2,7,2,2,5,5,6,NA,6,7,NA,2,7,2,NA,5,1,3,NA,4,6,4
"46","Columbus",1,"10/10/1977",4,3.5,6,3,5,6,4,3.5,2,4,4,3,6.5,2.5,2.5,5,3,4.5,2.5,1.5,5,5,3.5,2.5,4,4.5,4.5,5,5.5,2.5,4,3.5,4,2,4,4,3,5.5,4.5,2.5,2,4.5,4.5
"47","Conan",1,"01/03/1986",3.5,4.5,3,4.5,1.5,4,4,2.5,4.5,3.5,3.5,4,3,4,4.5,3.5,3.5,3,3.5,3.5,4.5,2.5,3,4,4,4,4.5,4,3,4,2.5,3.5,4,2.5,3.5,3.5,4,5,3.5,4,3,5,4.5
"48","Cynthia",0,"06/07/1980",2,5,6,6,1,2,7,2,6,2,6,3,2,4,6,4,1,1,6,5,1,2,5,4,2,2,6,5,NA,6,1,NA,5,4,1,NA,6,5,1,NA,4,5,2
"49","Daisey",0,"10/01/1989",5,4,2,3,2,7,5,5,3,5,1,3,3,4,2,6,5,5,3,3,5,5,2,2,4,6,4,5,NA,2,5,NA,2,2,4,NA,3,5,5,NA,5,2,5
"50","Dara",0,"6/16/1988",3.5,6,5,3.5,2,6,5.5,4,4,3,2,3.5,3,5,2.5,5.5,5.5,4.5,2.5,3.5,4,4,4,2,4,5.5,4,5,2.5,4,5.5,5,4.5,4,2.5,2.5,2.5,2,3,3,4,5.5,6
"51","David",1,"6/27/1977",4.5,4,4,3.5,4.5,4,4,4,3.5,3.5,3.5,4.5,4,5,3,3,4,2,3,2.5,5.5,5,5,4,3.5,3,4.5,4,2.5,4.5,3,3,3,3,3.5,4,4.5,2.5,4,2.5,3,4.5,2.5
"52","Debbie",0,"01/20/1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dobbs",1,"01/01/1961",2.5,5.5,3,3,3.5,4.5,4,3.5,2,3.5,2,1.5,6,2,2.5,4,4,4,3,1.5,3.5,5,2,3,3,4.5,4.5,6,5.5,2,4,4,3,2.5,3.5,5.5,2.5,4,5,4.5,2,6,4.5
"54","Dona",0,"04/03/1990",4,2,5,4,2,4,3,2,6,5,5,3,5,3,5,3,3,4,6,6,4,2,3,6,6,2,2,6,NA,6,3,NA,5,2,1,NA,6,4,1,NA,4,3,2
"55","Donald",1,"10/15/1987",2,4,2,2,4,4,5,6,4,4,2,5,6,4,2,5,4,5,4,3,6,5,5,2,4,4,3,2,NA,2,6,NA,4,3,4,NA,3,2,6,NA,4,5,4
"56","Dover",1,"2/25/1994",4,2,2,4,1,2,5,5,6,2,3,7,1,7,2,1,1,2,4,5,5,5,6,6,6,1,5,4,NA,5,1,NA,2,4,2,NA,6,1,5,NA,4,3,1
"57","Drew",1,"03/06/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Duff",1,"02/08/1990",2,4.5,2.5,2,7,4,5,5.5,3.5,2.5,2,2.5,3.5,5.5,4,4.5,5.5,4.5,3,2.5,5,5.5,3,3,2.5,5.5,2.5,3,3.5,3,4,3,4,2.5,4,5.5,2.5,2.5,6,3,3,3.5,5
"59","Duncan",1,"09/16/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Edwina",0,"5/28/1991",3.5,6,5,4,1.5,6,6.5,4.5,4,2.5,2,2.5,5,4.5,3,6,5,5.5,2.5,2.5,4,4.5,4.5,2,3,5,5,5,4.5,3,5.5,5,3,3,4,3,3,3,3,3.5,3,5.5,5.5
"61","Ellie",0,"8/14/1972",2,2,5,5,1,4,2,2,3,5,2,1,6,1,3,2,1,4,5,2,1,1,1,6,4,1,6,3,NA,4,1,NA,2,3,2,NA,2,7,2,NA,4,4,2
"62","Elvira",0,"10/31/1988",4,6,3,4.5,1.5,4.5,6,4,5,2,4,5,2,5.5,5,4.5,2.5,5.5,3.5,5,4.5,4.5,5.5,4.5,4,3.5,5.5,4.5,1.5,5,4,6.5,4.5,5,3,3,4,1.5,2.5,3.5,4,4.5,4
"63","Elwood",1,"2/19/1990",1,2,2,5,1,3,2,2,2,2,2,2,5,3,3,5,4,4,4,3,2,3,2,4,2,2,4,4,NA,3,5,NA,3,3,3,NA,3,6,3,NA,3,6,6
"64","Ericka",0,"10/20/1973",1,7,1,2,1,7,7,7,2,1,2,4,1,4,3,7,6,7,1,4,5,6,5,1,1,7,7,7,NA,4,6,NA,2,4,1,NA,1,4,2,NA,1,7,7
"65","Evelyne",0,"09/04/1991",5,3.5,5.5,5,1,4,4,2,4,4,2.5,2,3.5,4.5,2.5,3.5,3,3.5,4,2.5,4.5,2,4,5,5,2,6,4,3.5,4,2,5,4,3,1.5,1,3.5,1.5,1.5,5.5,3.5,3,4
"66","Faye",0,"6/22/1992",3,4,4,5.5,2,4,2.5,2,4,4.5,3,3.5,4.5,4,3.5,2,2,3,4.5,3.5,3,3,5,5,4,4,5,4.5,2.5,4.5,2,4.5,3,3,3,4,3.5,3.5,3,5.5,3.5,4.5,3
"67","Fiona",0,"12/05/1994",6,5,6,3,1,6,6,3,6,5,5,5,2,4,5,2,1,5,4,5,4,3,6,6,5,2,4,3,NA,5,5,NA,4,5,5,NA,5,3,2,NA,4,3,2
"68","Flora",0,"01/01/1954",4,3.5,3,2,3.5,4.5,6,3.5,3,3.5,2.5,1.5,5,2.5,2,3,2,1.5,3.5,3,6,5,3.5,5,5,6,2.5,3,5.5,3.5,4.5,4,3,2.5,4.5,5,2,5,4,2,3,4.5,1.5
"69","Foxy",0,"12/10/1967",2.5,5.5,4.5,4,4,5.5,4,2,3,4.5,2.5,2,5,2.5,2.5,2.5,3,3,4,3,3,3.5,2,3.5,3,3.5,4.5,4.5,4,3,3,2.5,3,2.5,4.5,3.5,3,5,5,5,3,5,4.5
"70","Francisca",0,"01/01/1959",4,6,3,2,5,6,6,6,2,4,4,2,5,1,2,6,7,7,3,3,7,5,2,2,3,6,5,5,NA,3,6,NA,4,3,4,NA,2,6,2,NA,4,5,6
"71","Frannie",0,"10/26/1992",5,5,6,3,5,2,2,4,4,5,4,4,4,5,4,4,1,4,5,4,6,5,6,5,5,3,5,4,NA,4,2,NA,4,5,1,NA,6,1,2,NA,4,3,1
"72","Fritz",1,"7/14/1988",2.5,4,3,2.5,4,4.5,5,5.5,3,3,2,3.5,4.5,4.5,3.5,5,6,3.5,3,2.5,5,4,4,2,2,5,3.5,3,3.5,3,4,3.5,4.5,3.5,4.5,5.5,3,4,5,3.5,3.5,5.5,5
"73","Garbo",0,"12/10/1953",1,5,6,5,3,3,2,1,5,5,5,4,6,1,4,1,1,5,6,4,4,3,5,6,5,2,5,3,NA,4,1,NA,4,3,5,NA,6,5,4,NA,4,5,1
"74","Gay",0,"01/01/1967",2,7,3,4,2,6,5,6,3,5,3,5,5,4,2,7,6,6,3,2,5,4,4,2,2,4,4,5,NA,3,6,NA,4,3,5,NA,5,3,4,NA,4,6,7
"75","Gelb",1,"4/18/1983",2,5.5,2.5,2.5,4,5.5,5.5,5,4,3.5,2,2,5,2,4.5,4.5,5.5,4,2,2.5,5.5,6,2.5,3.5,2.5,5.5,5,4,3.5,4,3.5,3,3.5,1.5,4,5,3.5,4,5.5,5,3,5,5
"76","Georgia",0,"8/27/1980",1,7,2,6,1,7,7,6,6,1,2,4,1,4,3,7,7,7,1,4,4,6,7,1,1,6,1,6,NA,2,7,NA,2,6,1,NA,3,2,2,NA,2,7,7
"77","Grayson",1,"5/22/1997",3,3,5,3,5,3,4,4,6,5,5,5,3,5,4,2,2,4,5,6,4,3,4,5,6,2,5,4,NA,4,2,NA,2,2,5,NA,6,1,1,NA,4,3,2
"78","Gwennie",0,"01/01/1969",1,7,7,6,1,1,7,1,6,1,4,1,5,1,5,1,1,7,1,6,1,1,6,1,4,1,7,6,NA,5,2,NA,5,7,1,NA,2,7,1,NA,4,5,1
"79","Heppie",0,"05/08/1969",4.5,3,5,5.5,2,4,3.5,2.5,3.5,4.5,4,2.5,5,2,4,2,2,4,4.5,4,3.5,3,2.5,4.5,3.5,3.5,5.5,4.5,5,4.5,3,3,3.5,2.5,4.5,2.5,3.5,5,3.5,4.5,3.5,4.5,3.5
"80","Hoboh",1,"01/01/1959",1,6,2,2,6,6,4,6,3,5,2,3,4,4,4,5,6,5,3,3,6,6,4,2,4,4,5,5,NA,2,6,NA,4,4,5,NA,4,4,5,NA,4,5,6
"81","Hunter",1,"08/03/1984",5,5,2,2,1,3,5,6,5,2,2,1,6,4,2,6,6,6,2,2,6,3,3,2,4,5,4,6,NA,2,6,NA,2,4,4,NA,4,2,3,NA,4,6,5
"82","Iyk",1,"08/01/1962",3,2,5,5,2,2,3,2,2,5,3,3,6,1,4,2,2,1,5,5,2,2,1,3,2,2,6,3,NA,4,2,NA,3,1,3,NA,4,7,5,NA,3,6,1
"83","Jacqueline",0,"10/16/1976",4,3.5,2.5,4.5,1.5,6,5.5,5,3.5,3.5,3,2.5,3.5,4,3.5,5.5,5,5,3.5,2.5,4,4.5,2,1.5,3,5.5,3,4.5,3,3,5.5,3,3,2.5,2.5,4,2.5,4,4,2.5,3,5.5,4.5
"84","Jaimie",0,"5/17/1995",2,4,4,3,1,2,4,4,7,4,4,7,1,7,4,2,1,4,7,6,2,1,7,5,5,1,4,2,NA,4,1,NA,4,4,5,NA,6,1,5,NA,7,4,1
"85","Janice",0,"12/01/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Jarred",1,"9/21/1987",1,7,1,3,1,5,5,5,4,1,1,6,1,6,3,6,6,4,2,4,3,5,5,1,1,5,2,6,NA,2,4,NA,2,5,2,NA,3,1,1,NA,1,7,7
"87","Jeanie",0,"01/01/1969",3.5,5,5,6,1.5,2.5,4,2.5,3.5,3.5,4,3.5,2.5,2.5,3,2,2,4.5,4,4,4,3,3.5,2.5,2.5,3.5,5,4.5,2.5,4.5,2.5,5,3.5,4,2.5,2,4.5,3,2.5,5,4.5,3.5,5
"88","Jenda",0,"2/14/1958",4,2,5,3.5,5,2,1.5,1,1.5,5,4,1,6.5,2,3,1,2,3,4,2,2.5,2.5,1.5,5.5,4,3.5,5,4.5,6,3,1.5,2,2,2.5,5,3.5,4,3.5,5.5,4.5,2,6,1.5
"89","Jenifere",0,"01/01/1963",4,7,3,2,5,6,5,3,2,3,1,2,6,3,3,6,5,4,3,2,7,5,2,3,3,7,2,6,NA,4,6,NA,3,3,4,NA,2,4,4,NA,3,5,5
"90","Jenny",0,"2/24/1940",5,5,6,5,6,2,3,2,5,3,6,5,4,2,7,2,4,5,7,6,4,4,6,3,2,1,5,5,NA,6,6,NA,7,5,5,NA,7,6,3,NA,4,3,6
"91","Jesse",0,"8/14/1982",2,6,5,4,1,1,1,2,2,2,4,3,6,3,3,1,1,2,6,4,1,1,4,5,4,2,4,3,NA,4,2,NA,2,2,1,NA,4,5,1,NA,1,6,1
"92","Jewelle",0,"03/09/1992",2.5,6,4,2.5,2,7,6.5,5.5,3.5,2,3,4,5,5,3,6,4.5,3.5,3,2.5,4.5,6.5,5,1.5,1.5,5.5,3.5,6,4.5,4,5,5,2.5,5,2,4,2.5,1.5,2.5,2.5,4,6.5,6
"93","Jimmy",1,"1/21/1977",2.5,4,3,4.5,2,5,4.5,2.5,3.5,4.5,3,3,5,2.5,3.5,4.5,3.5,3.5,3.5,3,2.5,2.5,4,3.5,3,3.5,5,4,4.5,4,3,3.5,3.5,3.5,4.5,3.5,3.5,5.5,3.5,5,3.5,5,5
"94","Jimoh",1,"01/01/1964",2,3,5,6,4,5,3,4,6,2,5,4,5,4,5,5,4,5,6,6,3,2,4,2,4,2,6,5,NA,6,2,NA,5,2,1,NA,6,4,1,NA,2,5,4
"95","Jolson",1,"01/10/1993",2.5,5.5,3.5,3.5,2.5,5,4,4.5,4.5,2,3,4.5,2.5,5.5,3.5,3.5,3,5.5,3.5,4.5,4.5,3.5,5.5,2.5,2.5,3.5,4.5,4,2,5,4,5,3.5,5,2.5,3,4,1.5,2.5,2.5,3,5,5.5
"96","Jorg",1,"02/01/1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Joseph",1,"11/25/1980",2.5,5.5,2,2.5,4,5.5,2.5,6,3,2.5,2.5,3.5,4.5,5.5,3,6,6,5,2,2,6,5.5,3.5,2,3,5.5,5,4.5,4,5.5,6,3,3,3,3,3.5,3,2.5,3.5,2,3,5,5.5
