chimp,sex,DoB,status,lastDate,,,,,,,,ID,,,,,Abby,,,,,,,,,
Abby,0,05/11/1995,Death,18/02/2016,,,,,,,,,,,,,Ada,,,,,,,,,
Ada,0,01/01/1955,Death,27/06/1994,,,,,,,,,,,,,Agatha,,,,,,,,,
Agatha,0,1/21/1993,Alive,09/02/2016,,,,,,,,,,,,,Alice,,,,,,,,,
Alice,0,01/01/1961,Death,14/10/1999,,,,,,,,,,,,,Alicia,,,,,,,,,
Alicia,0,6/26/1989,Death,06/04/2006,,,,,,,,,,,,,Amanda,,,,,,,,,
Amanda,0,6/15/1991,Alive,22/03/2016,,,,,,,,,,,,,Amanda,,,,,,,,,
Amos,1,11/19/1981,Death,16/07/2010,,,,,,,,,,,,,Amos,,,,,,,,,
Angela,0,9/17/1971,Death,07/03/1997,,,,,,,,,,,,,Angela,,,,,,,,,
Anja,0,01/09/1980,Death,04/02/2015,,,,,,,,,,,,,Anja,,,,,,,,,
Anna,0,01/01/1955,Death,27/04/2000,,,,,,,,,,,,,Anna,,,,,,,,,
Artemus,1,12/18/1990,Alive,22/03/2016,,,,,,,,,,,,,Artemus,,,,,,,,,
Arthur,1,5/21/1991,Alive,09/02/2016,,,,,,,,,,,,,Artemus,,,,,,,,,
Artifact,1,6/21/1979,Death,07/05/1998,,,,,,,,,,,,,Arthur,,,,,,,,,
Artifee,0,7/24/1976,Death,15/09/2004,,,,,,,,,,,,,Artifact,,,,,,,,,
Atlanta,0,08/10/1965,Death,21/12/2000,,,,,,,,,,,,,Artifee,,,,,,,,,
Augusta,0,08/01/1975,Death,30/11/2007,,,,,,,,,,,,,Atlanta,,,,,,,,,
Austin,1,07/10/1974,Death,17/01/2002,,,,,,,,,,,,,Augusta,,,,,,,,,
Azalea,0,03/07/1997,Alive,09/02/2016,,,,,,,,,,,,,Austin,,,,,,,,,
Barbara,0,12/16/1972,Death,27/02/2015,,,,,,,,,,,,,Azalea,,,,,,,,,
Barbi,0,6/14/1976,Alive,09/02/2016,,,,,,,,,,,,,Barbara,,,,,,,,,
Barney,1,05/06/1989,Alive,30/03/2016,,,,,,,,,,,,,Barbi,,,,,,,,,
Beleka,0,01/01/1962,Death,20/03/2006,,,,,,,,,,,,,Barney,,,,,,,,,
Bertha,0,03/05/1977,Death,15/07/1997,,,,,,,,,,,,,Beleka,,,,,,,,,
Bjorn,1,7/16/1988,Death,01/05/2007,,,,,,,,,,,,,Bertha,,,,,,,,,
Bo,0,01/01/1969,Alive,09/02/2016,,,,,,,,,,,,,Bjorn,,,,,,,,,
Boisfeullet,1,12/14/1971,Death,15/12/2003,,,,,,,,,,,,,Bo,,,,,,,,,
Boka,0,11/11/1959,Death,29/01/2007,,,,,,,,,,,,,Boisfeullet,,,,,,,,,
Borie,0,01/01/1964,Death,12/08/2014,,,,,,,,,,,,,Boka,,,,,,,,,
Brandy,0,4/26/1985,Alive,22/03/2016,,,,,,,,,,,,,Borie,,,,,,,,,
Brent,1,1/20/1976,Death,10/03/2014,,,,,,,,,,,,,Brandy,,,,,,,,,
Brian,1,3/31/1979,LTF,14/10/1998,,,,,,,,,,,,,Brandy,,,,,,,,,
Brooks,1,11/10/1992,Alive,30/03/2016,,,,,,,,,,,,,Brent,,,,,,,,,
Buffy,0,01/02/1984,Death,08/12/2006,,,,,,,,,,,,,Brent,,,,,,,,,
Callie,0,2/18/1991,Death,18/02/2014,,,,,,,,,,,,,Brian,,,,,,,,,
Carl,1,5/21/1986,Alive,09/02/2016,,,,,,,,,,,,,Brooks,,,,,,,,,
Carmichael,1,3/21/1983,Death,29/09/2010,,,,,,,,,,,,,Buffy,,,,,,,,,
Cathy,0,10/05/1989,Alive,09/02/2016,,,,,,,,,,,,,Callie,,,,,,,,,
Cheeta,0,01/01/1957,Death,04/01/2012,,,,,,,,,,,,,Carl,,,,,,,,,
Cheri,0,01/01/1955,Death,02/12/1995,,,,,,,,,,,,,Carmichael,,,,,,,,,
Christa,0,06/01/1995,Alive,09/02/2016,,,,,,,,,,,,,Cathy,,,,,,,,,
Cissie,0,11/28/1976,Alive,09/02/2016,,,,,,,,,,,,,Cheeta,,,,,,,,,
Claus,1,12/25/1992,Alive,30/03/2016,,,,,,,,,,,,,Cheri,,,,,,,,,
Clint,1,06/06/1980,Death,02/08/2004,,,,,,,,,,,,,Christa,,,,,,,,,
Columbus,1,10/10/1977,Death,04/01/2000,,,,,,,,,,,,,Cissie,,,,,,,,,
Conan,1,01/03/1986,Death,22/12/2014,,,,,,,,,,,,,Claus,,,,,,,,,
Cynthia,0,06/07/1980,Death,28/03/2013,,,,,,,,,,,,,Clint,,,,,,,,,
Daisey,0,10/01/1989,Alive,09/02/2016,,,,,,,,,,,,,Columbus,,,,,,,,,
Dara,0,6/16/1988,Alive,09/02/2016,,,,,,,,,,,,,Conan,,,,,,,,,
David,1,6/27/1977,Alive,09/02/2016,,,,,,,,,,,,,Cynthia,,,,,,,,,
Dobbs,1,01/01/1961,Death,28/03/2001,,,,,,,,,,,,,Daisey,,,,,,,,,
Dona,0,04/03/1990,Alive,09/02/2016,,,,,,,,,,,,,Dara,,,,,,,,,
Donald,1,10/15/1987,Death,17/09/2007,,,,,,,,,,,,,David,,,,,,,,,
Dover,1,2/25/1994,Death,22/07/2004,,,,,,,,,,,,,Debbie,,,,,,,,,
Duff,1,02/08/1990,Death,12/01/2015,,,,,,,,,,,,,Dobbs,,,,,,,,,
Edwina,0,5/28/1991,Death,30/12/2012,,,,,,,,,,,,,Dona,,,,,,,,,
Ellie,0,8/14/1972,Death,20/03/2010,,,,,,,,,,,,,Donald,,,,,,,,,
Elvira,0,10/31/1988,Alive,09/02/2016,,,,,,,,,,,,,Dover,,,,,,,,,
Elwood,1,2/19/1990,Death,02/03/2014,,,,,,,,,,,,,Duff,,,,,,,,,
Ericka,0,10/20/1973,Death,04/09/2016,,,,,,,,,,,,,Edwina,,,,,,,,,
Evelyne,0,09/04/1991,Alive,09/02/2016,,,,,,,,,,,,,Ellie,,,,,,,,,
Faye,0,6/22/1992,Alive,09/02/2016,,,,,,,,,,,,,Elvira,,,,,,,,,
Fiona,0,12/05/1994,Alive,09/02/2016,,,,,,,,,,,,,Elwood,,,,,,,,,
Flora,0,01/01/1954,Death,09/05/1996,,,,,,,,,,,,,Ericka,,,,,,,,,
Foxy,0,12/10/1967,Alive,09/02/2016,,,,,,,,,,,,,Evelyne,,,,,,,,,
Francisca,0,01/01/1959,Death,12/07/1994,,,,,,,,,,,,,Faye,,,,,,,,,
Frannie,0,10/26/1992,Alive,09/02/2016,,,,,,,,,,,,,Fiona,,,,,,,,,
Fritz,1,7/14/1988,Alive,09/02/2016,,,,,,,,,,,,,Flora,,,,,,,,,
Garbo,0,12/10/1953,Death,15/11/2015,,,,,,,,,,,,,Foxy,,,,,,,,,
Gay,0,01/01/1967,Death,17/08/2011,,,,,,,,,,,,,Francisca,,,,,,,,,
Gelb,1,4/18/1983,Alive,09/02/2016,,,,,,,,,,,,,Frannie,,,,,,,,,
Georgia,0,8/27/1980,Alive,09/02/2016,,,,,,,,,,,,,Fritz,,,,,,,,,
Grayson,1,5/22/1997,Alive,27/03/2016,,,,,,,,,,,,,Garbo,,,,,,,,,
Gwennie,0,01/01/1969,Death,19/01/2010,,,,,,,,,,,,,Gay,,,,,,,,,
Heppie,0,05/08/1969,Death,04/11/2009,,,,,,,,,,,,,Gelb,,,,,,,,,
Hoboh,1,01/01/1959,Death,24/03/2000,,,,,,,,,,,,,Georgia,,,,,,,,,
Hunter,1,08/03/1984,Death,16/07/2007,,,,,,,,,,,,,Grayson,,,,,,,,,
Iyk,1,08/01/1962,Death,25/04/2006,,,,,,,,,,,,,Gwennie,,,,,,,,,
Jacqueline,0,10/16/1976,Alive,09/02/2016,,,,,,,,,,,,,Heppie,,,,,,,,,
Jaimie,0,5/17/1995,Alive,02/11/2016,,,,,,,,,,,,,Hoboh,,,,,,,,,
Jarred,1,9/21/1987,Death,12/02/2010,,,,,,,,,,,,,Hunter,,,,,,,,,
Jeanie,0,01/01/1969,Death,14/12/2005,,,,,,,,,,,,,Iyk,,,,,,,,,
Jenda,0,2/14/1958,Death,15/01/2006,,,,,,,,,,,,,Jacqueline,,,,,,,,,
Jenifere,0,01/01/1963,Death,03/01/2001,,,,,,,,,,,,,Jaimie,,,,,,,,,
Jenny,0,2/24/1940,Death,10/02/1998,,,,,,,,,,,,,Janice,,,,,,,,,
Jesse,0,8/14/1982,Death,17/10/2003,,,,,,,,,,,,,Jarred,,,,,,,,,
Jewelle,0,03/09/1992,Alive,09/02/2016,,,,,,,,,,,,,Jeanie,,,,,,,,,
Jimmy,1,1/21/1977,Death,06/04/2005,,,,,,,,,,,,,Jenda,,,,,,,,,
Jimoh,1,01/01/1964,Death,22/03/2014,,,,,,,,,,,,,Jenifere,,,,,,,,,
Jolson,1,01/10/1993,Alive,18/03/2011,,,,,,,,,,,,,Jenny,,,,,,,,,
Joseph,1,11/25/1980,Alive,22/03/2016,,,,,,,,,,,,,Jesse,,,,,,,,,
Juan,1,2/23/1968,Alive,22/03/2016,,,,,,,,,,,,,Jewelle,,,,,,,,,
Julianne,0,5/15/1998,Alive,09/02/2016,,,,,,,,,,,,,Jimmy,,,,,,,,,
Julie,0,8/29/1994,Alive,09/02/2016,,,,,,,,,,,,,Jimoh,,,,,,,,,
Justin,1,08/01/1986,Death,20/07/2012,,,,,,,,,,,,,Jolson,,,,,,,,,
Kasey,0,5/13/1986,Death,17/12/2015,,,,,,,,,,,,,Joseph,,,,,,,,,
Katrina,0,7/26/1987,Alive,22/03/2016,,,,,,,,,,,,,Joseph,,,,,,,,,
Kengee,0,06/01/1988,Death,02/04/2010,,,,,,,,,,,,,Josh,,,,,,,,,
Kevin,1,07/08/1990,Alive,30/03/2016,,,,,,,,,,,,,Juan,,,,,,,,,
Lamar,1,4/27/1988,Death,03/08/2014,,,,,,,,,,,,,Julianne,,,,,,,,,
Lana,0,10/07/1970,Alive,22/09/1992,,,,,,,,,,,,,Julie,,,,,,,,,
Lee,0,12/29/1983,Death,30/01/2003,,,,,,,,,,,,,Justin,,,,,,,,,
Lena,0,2/29/1976,Death,16/02/2010,,,,,,,,,,,,,Kasey,,,,,,,,,
Les,1,09/08/1975,Death,26/02/2015,,,,,,,,,,,,,Katrina,,,,,,,,,
Leslie,0,01/01/1970,Alive,09/02/2016,,,,,,,,,,,,,Katrina,,,,,,,,,
Lil'One,0,01/01/1969,Alive,09/02/2016,,,,,,,,,,,,,Kengee,,,,,,,,,
Lindsey,0,02/10/1994,Alive,27/03/2016,,,,,,,,,,,,,Kevin,,,,,,,,,
Liza,0,3/19/1994,Alive,09/02/2016,,,,,,,,,,,,,Lamar,,,,,,,,,
Lizzie,0,08/06/1990,Alive,01/11/2004,,,,,,,,,,,,,Lana,,,,,,,,,
Lolita,0,08/01/1959,Death,15/11/2010,,,,,,,,,,,,,Lee,,,,,,,,,
Lucas,1,3/22/1993,Alive,09/02/2016,,,,,,,,,,,,,Lena,,,,,,,,,
Lucy,0,07/01/1956,Death,04/12/2000,,,,,,,,,,,,,Les,,,,,,,,,
Lulu,0,01/01/1957,Death,08/09/2014,,,,,,,,,,,,,Leslie,,,,,,,,,
Luther,1,1/14/1990,Alive,09/02/2016,,,,,,,,,,,,,Lil'One,,,,,,,,,
Lux,1,8/16/1981,Death,18/03/2013,,,,,,,,,,,,,Lindsey,,,,,,,,,
Lyons,1,08/03/1984,Death,16/04/2007,,,,,,,,,,,,,Lindsey,,,,,,,,,
Magnum,1,07/08/1989,Alive,22/03/2016,,,,,,,,,,,,,Liza,,,,,,,,,
Mai,0,01/01/1964,Death,29/01/2013,,,,,,,,,,,,,Lizzie,,,,,,,,,
Marietta,0,08/03/1973,Death,02/12/2014,,,,,,,,,,,,,Lolita,,,,,,,,,
Marilyne,0,1/13/1971,Death,23/10/2000,,,,,,,,,,,,,Lucas,,,,,,,,,
Martha,0,07/07/1960,Alive,09/02/2016,,,,,,,,,,,,,Lucy,,,,,,,,,
Mary,0,07/07/1960,Death,21/04/2012,,,,,,,,,,,,,Lulu,,,,,,,,,
Mason,1,9/18/1984,Death,28/01/2012,,,,,,,,,,,,,Luther,,,,,,,,,
Maxine,0,02/10/1957,Death,13/12/2010,,,,,,,,,,,,,Lux,,,,,,,,,
Mega,0,11/27/1984,Alive,30/03/2016,,,,,,,,,,,,,Lyons,,,,,,,,,
Melinda,0,10/30/1982,Death,20/09/2011,,,,,,,,,,,,,Magnum,,,,,,,,,
Melissa,0,6/27/1981,Death,12/10/2015,,,,,,,,,,,,,Mai,,,,,,,,,
Merv,1,01/06/1976,Death,10/12/2012,,,,,,,,,,,,,Marietta,,,,,,,,,
Missy,0,07/08/1993,Alive,09/02/2016,,,,,,,,,,,,,Marilyne,,,,,,,,,
Morgan,1,04/11/1996,Death,10/01/2013,,,,,,,,,,,,,Martha,,,,,,,,,
Mortimer,1,12/20/1976,Death,13/02/2002,,,,,,,,,,,,,Mary,,,,,,,,,
Natasha,0,12/19/1987,Death,23/02/2004,,,,,,,,,,,,,Mason,,,,,,,,,
Ossabaw,1,11/17/1976,Death,09/02/2004,,,,,,,,,,,,,Maverick,,,,,,,,,
Panzee,0,12/31/1985,Death,09/02/2014,,,,,,,,,,,,,Maxine,,,,,,,,,
Patrick,1,7/14/1993,Alive,09/02/2016,,,,,,,,,,,,,Mega,,,,,,,,,
Peony,0,01/01/1968,Death,04/01/2010,,,,,,,,,,,,,Melinda,,,,,,,,,
Phillip,1,4/30/1977,Death,10/06/2002,,,,,,,,,,,,,Melissa,,,,,,,,,
Phineas,1,01/01/1966,Death,07/03/2004,,,,,,,,,,,,,Merlin,,,,,,,,,
Polyanna,0,2/17/1989,Death,13/12/2003,,,,,,,,,,,,,Merv,,,,,,,,,
Puddin,1,12/23/1978,Death,30/11/2010,,,,,,,,,,,,,Missy,,,,,,,,,
Ranette,0,12/17/1987,Alive,22/03/2016,,,,,,,,,,,,,Morgan,,,,,,,,,
Reba,0,11/03/1958,Death,02/01/2003,,,,,,,,,,,,,Mortimer,,,,,,,,,
Rebecca,0,5/20/1991,Alive,22/03/2016,,,,,,,,,,,,,Natasha,,,,,,,,,
Rhett,1,4/20/1989,Death,13/02/2005,,,,,,,,,,,,,Ossabaw,,,,,,,,,
Rogger,1,01/01/1969,Death,17/01/2014,,,,,,,,,,,,,Panzee,,,,,,,,,
Ronald,1,05/04/1988,LTF,27/03/2016,,,,,,,,,,,,,Patrick,,,,,,,,,
Rosemary,0,02/11/1994,LTF,27/03/2016,,,,,,,,,,,,,Peony,,,,,,,,,
Rowena,0,8/13/1988,Alive,22/03/2016,,,,,,,,,,,,,Phillip,,,,,,,,,
Sabrina,0,10/16/1978,Alive,22/03/2016,,,,,,,,,,,,,Phineas,,,,,,,,,
Sam,1,5/19/1982,Alive,30/03/2016,,,,,,,,,,,,,Polyanna,,,,,,,,,
Samantha,0,8/28/1997,Alive,22/03/2016,,,,,,,,,,,,,Puddin,,,,,,,,,
Scott,1,6/23/1987,Alive,22/03/2016,,,,,,,,,,,,,Ranette,,,,,,,,,
Sean,1,3/16/1992,Alive,30/03/2016,,,,,,,,,,,,,Ranette,,,,,,,,,
Sellers,1,12/18/1983,Death,11/06/2001,,,,,,,,,,,,,Reba,,,,,,,,,
Sheena,0,1/20/1989,Alive,27/03/2016,,,,,,,,,,,,,Rebecca,,,,,,,,,
Sheila,0,3/19/1972,Alive,22/03/2016,,,,,,,,,,,,,Reid,,,,,,,,,
Shirley,0,01/11/1985,Alive,22/03/2016,,,,,,,,,,,,,Rhett,,,,,,,,,
Socrates,1,1/23/1987,Death,29/11/2013,,,,,,,,,,,,,Rogger,,,,,,,,,
Sonia,0,11/01/1959,Death,05/06/2001,,,,,,,,,,,,,Ronald,,,,,,,,,
Sparkle,0,01/01/1955,Death,21/11/1995,,,,,,,,,,,,,Rosemary,,,,,,,,,
Storer,1,11/19/1991,Death,27/04/2000,,,,,,,,,,,,,Rowena,,,,,,,,,
Suwanee,0,2/17/1985,Alive,22/03/2016,,,,,,,,,,,,,Rufus,,,,,,,,,
Suzanna,0,2/25/1976,Alive,22/03/2016,,,,,,,,,,,,,Sabrina,,,,,,,,,
Sylvia,0,7/19/1993,Alive,22/03/2016,,,,,,,,,,,,,Sam,,,,,,,,,
Tai,0,01/01/1967,Alive,22/03/2016,,,,,,,,,,,,,Samantha,,,,,,,,,
Tank,1,2/18/1986,Alive,27/03/2016,,,,,,,,,,,,,Scott,,,,,,,,,
Tara,0,09/05/1995,Alive,22/03/2016,,,,,,,,,,,,,Scott,,,,,,,,,
Travis,1,08/02/1989,Alive,22/03/2016,,,,,,,,,,,,,Sean,,,,,,,,,
Vivienne,0,7/27/1974,Alive,22/03/2016,,,,,,,,,,,,,Sellers,,,,,,,,,
Waga,0,3/19/1982,Death,27/12/2012,,,,,,,,,,,,,Sheena,,,,,,,,,
Walnut,1,01/01/1965,Death,22/03/1994,,,,,,,,,,,,,Sheila,,,,,,,,,
Wenka,0,5/21/1954,Alive,22/03/2016,,,,,,,,,,,,,Shirley,,,,,,,,,
Wilma,0,10/27/1988,Death,19/12/2001,,,,,,,,,,,,,Shirley,,,,,,,,,
Wilson,1,03/09/1994,Alive,27/03/2016,,,,,,,,,,,,,Socrates,,,,,,,,,
Winston,1,01/12/1987,Alive,22/03/2016,,,,,,,,,,,,,Sonia,,,,,,,,,
Woodruff,1,7/22/1975,Death,03/09/2009,,,,,,,,,,,,,Sparkle,,,,,,,,,
,,,,,,,,,,,,,,,,,Storer,,,,,,,,,
,,,,,,,,,,,,,,,,,Suwanee,,,,,,,,,
,,,,,,,,,,,,,,,,,Suzanna,,,,,,,,,
,,,,,,,,,,,,,,,,,Sylvia,,,,,,,,,
,,,,,,,,,,,,,,,,,Tai,,,,,,,,,
,,,,,,,,,,,,,,,,,Tank,,,,,,,,,
,,,,,,,,,,,,,,,,,Tara,,,,,,,,,
,,,,,,,,,,,,,,,,,Travis,,,,,,,,,
,,,,,,,,,,,,,,,,,Vivienne,,,,,,,,,
,,,,,,,,,,,,,,,,,Waga,,,,,,,,,
,,,,,,,,,,,,,,,,,Walnut,,,,,,,,,
,,,,,,,,,,,,,,,,,Wenka,,,,,,,,,
,,,,,,,,,,,,,,,,,Wilma,,,,,,,,,
,,,,,,,,,,,,,,,,,Wilson,,,,,,,,,
,,,,,,,,,,,,,,,,,Winston,,,,,,,,,
,,,,,,,,,,,,,,,,,Woodruff,,,,,,,,,
,,,,,,,,,,,,,,,,,Zana,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey,NA,02/10/1994,Alive,31/03/2016,,,,,,,,C0710,,,10/02/1994,10/02/1994,01/11/2004,,,,,,,,,
Debbie,NA,02/11/1989,Alive,31/03/2016,,,,,,,,C0638,,,11/02/1989,20/01/1989,10/12/1999,,,,,,,,,
Janice,NA,01/01/1990,Death,09/02/2013,,,,,,,,C0654,,,01/01/1990,01/12/1990,17/12/1999,,,,,,,,,
Josh,NA,08/27/1990,Death,18/12/2012,,,,,,,,C0597,,,27/08/1990,27/08/1990,17/12/1999,,,,,,,,,
Maverick,NA,09/26/1993,Alive,31/03/2016,,,,,,,,C0643,,,26/09/1993,26/09/1993,17/12/1999,,,,,,,,,
Zana,NA,06/18/1990,Alive,31/03/2016,,,,,,,,C0664,,,18/06/1990,18/06/1990,10/12/1999,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,birth_date,death_date,acq_date_tm_max,,Num_id,,sfbr_id,alias_id_value,alias_id_institution,isis_number,TxBiomed_name,at_sfbr
Rufus,NA,01/20/1981,Death,18/09/2015,,,,,,,,C0479,,,"January 20, 1981","September 18, 2015","February 24, 2005",,479,,4X0528,479,Yerkes National Primate Research Center,4323,RUFUS,N
Merlin,NA,02/02/1993,Alive,09/02/2016,,,,,,,,C0627,,,"February 2, 1993",NULL,"February 24, 2005",,627,,4X0525,627,Yerkes National Primate Research Center,5908,MERLIN,Y
Reid,NA,07/05/1993,Death,09/05/2012,,,,,,,,C0637,,,"July 5, 1993","May 9, 2012","February 24, 2005",,637,,4X0524,637,Yerkes National Primate Research Center,5980,REED,N
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodie,NA,01/10/1984,Alive,09/02/2016,,,,,,,,C0580,,,,,,,,,,,,,,
Chip,NA,03/30/1989,Alive,09/02/2016,,,,,,,,C0567,,,,,,,,,,,,,,
Drew,NA,03/06/1993,Alive,09/02/2016,,,,,,,,C0629,,,,,,,,,,,,,,
Duncan,NA,09/16/1993,Death,25/06/2015,,,,,,,,C0295,,,,,,,,,,,,,,
Jorg,NA,02/01/1967,Death,02/10/2016,,,,,,,,C0301,,,,,,,,,,,,,,
Kerri,NA,01/02/1995,Death,02/10/2016,,,,,,,,C0724,,,,,,,,,,,,,,
Kipper,NA,10/01/1979,Death,02/10/2016,,,,,,,,C0457,,,,,,,,,,,,,,
Pericles,NA,03/08/2001,Alive,09/02/2016,,,,,,,,C0661,,,,,,,,,,,,,,
Rita,NA,09/23/1987,Alive,09/02/2016,,,,,,,,C0606,,,,,,,,,,,,,,
Sara,NA,05/16/1979,Death,25/06/2015,,,,,,,,C0548,,,,,,,,,,,,,,
Virginia,NA,04/18/1991,Alive,09/02/2016,,,,,,,,C0678,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
RM below,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent,NA,1/20/1976,Death,10/03/2014,16/05/2006,Removal to Chimp Haven,,,died 3/10/2014,,,C0415,,,,,,,,,,,,,,
Amanda,NA,06/15/1991,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0684,,,,,,,,,,,,,,
Brandy,NA,04/26/1985,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0592,,,,,,,,,,,,,,
Artemus,NA,12/18/1990,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0599,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph,NA,11/25/1980,Alive,03/22/2016,unknown,Removal to Chimp Haven,,,living,22/03/2016,,C0475,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Katrina,NA,07/26/1987,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0604,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranette,NA,12/17/1987,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0610,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott,NA,06/23/1987,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0545,,,,,,,,,,,,,,
Shirley,NA,01/11/1985,Alive,03/22/2016,unknown,Removal to Chattanooga Zoo,,,living,22/03/2016,,C0588,,,,,,,,,,,,,,
