Date,Subject,Stable,Sex,Age,Round,Emotion,Blind trial (y/n),Binocular look duration,Left look duration,Right look duration,Direction First look,Laterality index - Duration,Avoidance (s),Approach (s),Nostril dilate (y/n),Eye whites (y/n),Tail swish (y/n),Head bob (y/n),Lick & chew (y/n),,
04/02/2015,athena,meadows,M,17,2,angry,y,20.24,4,5.76,right,-0.06,3.92,0,1,0,0,1,1,,
12/09/2014,benson,albourne,G,17,2,angry,y,11.4,9.52,6.8,left,0.10,5.82,0,0,1,0,0,0,,
22/09/2014,blue,glebe,G,9,2,angry,y,27.63,0,2.32,right,-0.08,0,0,0,0,1,0,0,,
06/02/2015,charlie,glebe,M,15,2,angry,y,6.92,15.64,0,left,0.69,2.96,0,0,1,0,0,0,,
09/05/2014,comet,little brook,G,14,1,angry,y,3.16,19.19,0,left,0.86,5.04,0,1,1,0,0,0,,
28/01/2015,fab,meadows,G,12,2,angry,n,8.02,19.56,0,left,0.71,2.76,6.97,1,0,0,0,0,,
04/02/2015,frog,meadows,G,6,2,angry,y,26.12,2.04,0,left,0.07,2.52,0,1,0,0,0,0,,
09/05/2014,geoff,little brook,G,15,1,angry,y,25.88,3.08,1.04,right,0.07,2.81,0,1,1,0,1,0,,
09/07/2014,harmony,meadows,M,21,1,angry,y,13.52,16.48,0,left,0.55,13.76,0,1,0,0,0,0,,
18/02/2015,harry,meadows,G,23,2,angry,n,12.4,4.6,13,right,-0.28,0,0,0,0,0,0,0,,
09/07/2014,horatio,meadows,G,4,1,angry,y,3.73,19.8,1.64,right,0.72,8,3.4,1,0,0,0,0,,
19/09/2014,jack,little brook,G,16,2,angry,y,19.16,10.84,1,left,0.32,0,0,0,0,1,0,0,,
28/01/2015,jester,meadows,G,19,2,angry,n,6.02,7.81,6.16,left,0.08,0,0,1,0,0,1,0,,
06/08/2014,joe,meadows,G,22,1,angry,y,13.72,16.28,0,left,0.54,0,0,0,0,0,0,0,,
04/04/2014,liquorice,little brook,G,18,1,angry,y,0,30,0,left,1.00,9.35,0,1,1,0,0,0,,
04/04/2014,loki,little brook,G,15,1,angry,y,15.16,3.84,0,left,0.20,7.96,0,1,1,1,0,0,,
06/08/2014,minstrel,meadows,M,9,1,angry,y,15.05,5.72,0,left,0.28,1.24,11.36,1,1,0,0,0,,
04/07/2014,red,glebe,G,18,1,angry,n,21,7.68,1.32,right,0.21,0,0,1,0,0,0,0,,
03/07/2014,rose,woodingdean,M,18,1,angry,y,19.56,3.6,6.84,left,-0.11,3.64,0,0,1,0,0,0,,
19/09/2014,rufus,little brook,G,17,2,angry,y,24.56,0,5.42,right,-0.18,3.44,0,1,1,0,0,1,,
04/02/2015,shelly,meadows,G,20,2,angry,y,10.32,10.64,1.48,right,0.41,2.96,7.96,0,0,1,0,0,,
06/08/2014,smokey,meadows,G,18,1,angry,n,24.36,1.48,1.72,left,-0.01,0,0,1,0,0,0,0,,
19/09/2014,spice,little brook,M,22,2,angry,y,15,15,0,left,0.50,5.2,0,0,1,1,0,0,,
09/05/2014,squire,little brook,G,16,1,angry,y,26.19,3.01,0,left,0.10,4.16,4.01,1,1,0,1,0,,
18/02/2015,tamara,meadows,M,14,2,angry,y,9.04,1.64,3.96,left,-0.16,0,8.45,1,0,0,1,0,,
19/09/2014,thais,little brook,G,7,2,angry,n,26.24,1.6,2.2,left,-0.02,2.32,6.56,0,0,0,0,1,,
09/07/2014,turbo,meadows,G,8,1,angry,y,21.24,2.52,6.24,left,-0.12,3.92,7.09,1,1,0,0,0,,
06/08/2014,willsie,meadows,G,23,1,angry,y,27.12,1.72,1.16,left,0.02,2.84,1.04,1,0,0,1,0,,
06/08/2014,athena,meadows,M,17,1,happy,y,13.68,10.54,1.64,left,0.34,4.04,7.2,1,0,0,1,0,,
26/06/2014,benson,albourne,G,17,1,happy,y,5.76,24.2,0,left,0.81,2.84,0,0,1,0,0,0,,
04/07/2014,blue,glebe,G,9,1,happy,y,15.52,6.56,7.92,left,-0.05,0,1.8,0,1,0,0,0,,
22/09/2014,charlie,glebe,M,15,1,happy,y,8.52,21.48,0,left,0.72,6.96,0,1,0,0,0,0,,
19/09/2014,comet,little brook,G,14,2,happy,y,28.38,1.61,0,left,0.05,0,0,1,0,0,0,0,,
06/08/2014,fab,meadows,G,12,1,happy,y,19.65,6.08,3.36,right,0.09,2.28,2.72,1,0,0,1,0,,
09/07/2014,frog,meadows,G,6,1,happy,y,14.36,2.2,12.52,right,-0.35,0,4.36,0,0,0,0,0,,
19/09/2014,geoff,little brook,G,15,2,happy,y,30,0,0,0,0.00,0,0,0,0,1,0,0,,
28/01/2015,harmony,meadows,M,21,2,happy,y,4.04,2.72,12.87,right,-0.52,9.8,0.52,1,0,0,0,0,,
06/08/2014,harry,meadows,G,23,1,happy,y,21.4,8.64,0,left,0.29,9.52,0,1,1,0,0,0,,
28/01/2015,horatio,meadows,G,4,2,happy,y,7.4,2.68,6.36,left,-0.22,7.64,1.8,1,1,0,0,0,,
09/05/2014,jack,little brook,G,16,1,happy,n,16,9.64,3.88,right,0.20,10.72,0.44,0,1,0,1,0,,
09/07/2014,jester,meadows,G,19,1,happy,y,27.72,1.52,0.76,right,0.03,0,1.88,1,0,0,0,0,,
04/02/2015,joe,meadows,G,22,2,happy,y,10.88,2.92,12.48,right,-0.36,2.89,0,1,1,0,1,0,,
19/09/2014,liquorice,little brook,G,18,2,happy,y,6.04,20.04,3.92,right,0.54,8.44,0,1,1,1,0,0,,
19/09/2014,loki,little brook,G,15,2,happy,y,5.96,9.76,0,left,0.62,0,7,0,1,1,0,1,,
04/02/2015,minstrel,meadows,M,9,2,happy,n,21.88,0,8.12,right,-0.27,2.52,0,0,1,0,0,0,,
22/09/2014,red,glebe,G,18,2,happy,y,15.08,10.16,1.12,left,0.34,0,0,0,0,0,0,0,,
09/09/2014,rose,woodingdean,M,18,2,happy,y,30,0,0,0,0.00,0,0,0,0,0,0,1,,
09/05/2014,rufus,little brook,G,17,1,happy,y,23.2,4.4,1.24,left,0.11,5.32,0,0,1,0,0,0,,
09/07/2014,shelly,meadows,G,20,1,happy,y,9,1.76,6.05,right,-0.26,0,8.52,0,0,0,0,0,,
28/01/2015,smokey,meadows,G,18,2,happy,n,26.88,3.12,0,left,0.10,0,8.52,0,0,0,0,0,,
09/05/2014,spice,little brook,M,22,1,happy,y,21.4,4.7,3.88,left,0.03,7.61,0,1,1,0,0,0,,
19/09/2014,squire,little brook,G,16,2,happy,y,8.68,7.84,0,left,0.47,0,2.32,0,0,1,0,0,,
06/08/2014,tamara,meadows,M,14,1,happy,y,16.79,5.24,5.98,left,-0.03,0,18.48,1,1,0,0,0,,
02/04/2014,thais,little brook,G,7,1,happy,y,23.24,0,6.76,right,-0.23,0,7.64,0,0,0,0,0,,
18/02/2015,turbo,meadows,G,8,2,happy,y,19.88,4.6,5.52,left,-0.03,5.31,1.8,0,1,0,0,0,,
04/02/2015,willsie,meadows,G,23,2,happy,y,24.04,6,0,left,0.20,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,
