Subject,Rater,DOR,Group,Fear,Dom,Pers,Caut,Stbl,Aut,Curious,Thotl,Stngy,Jeals,Indv,Reckl,Soc,Dist,Tim,Symp,Play,Sol,Vuln,Innov,Actv,Help,Buly,Aggr,Manp,Gntl,Affc,Exct,Impl,Inqs,Subm,Cool,Depd,Irri,Unper,Pred,Decs,Depr,Conv,Sens,Defn,Intll,Prot,Quit,Invt,Clmy,Errc,Frdy,Anx,Lazy,Dsor,Unem,Imit,Indp
Pallas,Melissa Messinese,14/05/2013,group2,5,2,2,5,2,1,2,1,3,1,1,1,3,5,3,1,1,2,5,1,2,1,1,1,2,2,2,2,1,5,6,3,3,5,6,3,4,2,4,3,4,1,2,4,2,2,3,2,4,3,1,5,2,2
Palmira,Arianna De Marco,14/05/2013,group2,5,2,5,5,5,1,4,2,3,2,2,2,6,4,4,4,2,2,5,4,6,3,2,2,2,6,5,3,2,5,5,5,6,2,3,5,3,1,4,4,1,4,6,3,4,1,2,6,2,3,2,4,4,5
Palmira,Andrea Sanna,14/05/2013,group2,5,2,3,5,4,1,4,2,3,1,4,2,5,4,4,4,4,2,5,4,4,4,1,1,4,4,4,4,4,5,6,4,4,3,4,4,4,1,3,4,2,4,4,4,5,1,3,5,4,3,3,4,3,3
Palmira,Melissa Messinese,14/05/2013,group2,5,1,1,7,2,1,2,1,2,2,1,1,3,1,5,2,1,3,6,3,3,3,1,1,1,3,5,3,2,2,6,3,5,2,4,4,2,2,4,5,1,3,5,4,1,2,2,3,3,1,4,1,1,2
Palos,Arianna De Marco,14/05/2013,group2,4,3,4,5,6,1,2,1,2,2,2,1,3,4,5,2,2,5,6,5,2,2,3,2,2,5,4,2,2,3,6,6,4,2,3,6,3,5,7,4,1,4,3,4,5,1,1,3,2,6,2,6,4,4
Palos,Andrea Sanna,14/05/2013,group2,4,2,4,6,5,1,3,2,1,1,4,1,1,4,5,4,3,7,5,2,2,4,1,2,4,5,4,4,3,2,7,5,3,3,4,5,4,4,4,4,2,4,4,4,4,1,2,2,5,3,2,5,3,4
Palos,Melissa Messinese,14/05/2013,group2,6,1,1,7,1,3,1,4,2,1,5,1,1,1,6,1,1,5,6,1,1,1,1,1,1,1,2,2,1,3,7,2,2,1,4,4,1,6,4,4,1,3,1,4,1,3,2,3,3,1,1,1,4,5
Papaya,Arianna De Marco,14/05/2013,group2,5,2,4,5,4,1,4,2,3,2,2,2,6,4,4,4,3,2,5,4,6,3,2,3,2,6,5,4,2,4,5,4,7,2,3,5,3,1,4,4,1,4,6,4,4,1,2,6,4,3,2,4,4,4
Papaya,Andrea Sanna,14/05/2013,group2,4,2,3,5,4,1,3,2,2,5,4,1,3,4,4,4,4,4,5,3,4,4,1,1,4,5,4,4,4,3,6,4,3,3,4,4,4,2,4,4,2,4,4,4,3,1,2,4,4,3,3,4,3,3
Papaya,Melissa Messinese,14/05/2013,group2,6,1,1,7,2,1,2,1,3,2,1,1,3,3,5,2,1,3,5,1,2,3,2,2,1,3,3,3,2,3,5,2,3,3,4,2,2,2,4,3,1,3,5,4,4,1,3,5,2,1,1,1,4,2
Parsifal,Arianna De Marco,14/05/2013,group2,6,1,2,6,1,1,2,1,1,1,2,1,5,6,7,2,7,2,7,4,6,2,1,2,2,4,4,4,2,2,7,2,7,2,3,2,1,1,2,4,1,3,1,6,4,1,2,5,7,1,5,1,4,2
Parsifal,Andrea Sanna,14/05/2013,group2,6,2,3,5,3,1,4,2,2,4,5,1,4,4,5,4,6,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,3,4,4,4,1,4,4,2,4,4,4,4,1,3,5,6,2,6,4,3,3
Parsifal,Melissa Messinese,14/05/2013,group2,6,1,1,7,1,1,2,1,2,1,1,1,3,3,6,3,5,2,6,2,5,2,1,1,1,5,6,2,1,5,5,3,5,1,2,4,1,3,4,5,1,4,1,4,1,3,2,5,6,1,4,2,4,2
Patsy,Carine Morin,26/01/2008,gaetan,5,3,4,3,2,1,2,4,3,3,4,4,3,4,4,3,2,5,5,3,4,2,5,6,3,2,3,6,6,3,5,1,4,6,3,1,3,2,1,4,5,3,2,5,3,3,6,3,5,2,3,1,1,5
Patsy,Sophie Steelandt,27/07/2008,gaetan,3,5,4,5,3,1,4,2,4,5,5,2,4,4,3,3,3,5,3,3,5,4,6,6,4,3,5,5,4,3,3,4,5,4,3,4,5,4,4,5,5,4,4,4,3,3,6,4,2,4,3,3,4,5
Patsy,Cedric Sueur,28/10/2008,gaetan,6,4,6,2,3,1,6,6,6,6,4,5,4,5,5,3,6,4,4,3,6,3,6,5,6,3,3,6,5,3,3,3,5,6,4,4,6,2,2,4,6,5,3,5,5,2,6,2,6,2,4,2,4,6
Platon,Arianna De Marco,14/05/2013,group2,2,6,3,4,3,1,2,4,5,4,4,4,2,6,3,1,1,6,2,2,3,1,6,4,5,3,2,5,5,3,1,3,3,4,5,7,4,3,6,3,1,3,2,6,2,1,2,1,5,5,2,6,4,7
Platon,Andrea Sanna,14/05/2013,group2,2,6,4,4,4,1,2,3,4,2,4,2,1,4,3,4,1,6,2,1,3,4,4,4,4,4,4,2,3,1,1,4,2,3,4,5,4,1,5,4,1,3,3,4,2,1,2,1,3,5,2,6,3,6
Platon,Melissa Messinese,14/05/2013,group2,1,7,7,1,7,1,3,1,6,2,1,1,2,,1,2,1,2,1,2,2,1,5,5,2,2,2,2,3,2,1,3,1,3,2,4,4,2,4,3,2,3,3,4,1,1,2,2,1,1,1,3,1,5
Rimbaud,Arianna De Marco,14/05/2013,group4,1,7,7,2,3,1,4,3,7,7,7,4,1,2,1,1,1,6,1,6,2,1,7,5,2,1,1,5,2,6,1,5,2,6,5,7,7,5,6,3,1,7,2,1,5,1,3,1,2,7,2,6,4,7
Rimbaud,Andrea Sanna,14/05/2013,group4,1,7,6,2,3,1,5,2,5,2,4,4,2,4,2,4,2,6,2,5,3,4,4,5,4,3,4,3,5,5,1,4,2,3,4,3,4,1,3,4,1,5,3,4,5,1,2,2,2,5,2,5,3,6
Rimbaud,Melissa Messinese,14/05/2013,group4,1,7,6,2,2,1,3,1,6,1,3,1,2,5,1,3,2,3,1,2,5,1,3,5,2,1,2,1,3,3,1,1,2,5,4,3,6,1,4,3,1,2,5,4,2,1,3,2,3,1,4,6,1,3
Rimbaud,Elena Vero,14/05/2013,group4,1,7,4,1,7,1,2,2,6,1,7,6,1,1,1,1,1,7,1,1,1,1,7,6,1,1,1,1,2,1,1,6,1,7,1,5,7,5,4,6,1,6,1,5,4,1,7,1,1,5,1,6,1,7
Rimbaud,Farah Ayari,05/12/2008,group4,1,7,6,5,5,1,6,4,6,6,2,4,6,3,2,5,5,2,1,6,5,4,7,4,4,4,5,5,6,4,1,4,2,4,3,4,6,2,4,4,4,6,6,2,6,1,1,3,4,2,4,5,5,7
Rimbaud,Sophie Steelandt,01/05/2009,group4,2,7,7,1,2,3,6,6,7,7,6,7,3,5,1,1,2,5,2,7,6,3,7,7,4,2,4,6,6,7,1,4,2,7,3,5,7,2,1,4,7,7,4,2,7,2,6,2,3,2,3,3,6,7
Rimbaud,Claire Pichon,16/03/2009,group4,3,6,5,3,3,4,6,4,5,5,4,4,4,4,4,4,4,4,4,6,5,4,5,5,5,3,4,4,4,4,4,5,4,4,4,4,5,1,4,4,4,5,5,5,5,4,4,4,3,1,4,4,4,5
Rimbaud,Amandine Leclerc,19/03/2009,group4,4,7,4,2,4,1,4,5,6,5,4,4,4,6,4,4,2,4,1,4,4,2,6,4,4,4,2,4,5,5,1,5,2,4,4,6,6,1,7,4,1,4,3,6,4,4,4,2,1,4,1,6,1,6
Rimbaud,Bernard Thierry,11/05/2009,group4,2,7,6,3,5,4,5,4,6,6,6,4,4,4,4,3,3,5,1,2,6,3,7,7,5,1,1,7,6,5,1,1,1,6,7,4,4,4,5,1,7,4,4,5,3,4,4,2,4,6,4,5,2,6
Shan,Carine Morin,26/01/2008,gaetan,2,3,7,4,5,1,6,4,4,4,4,3,7,2,2,6,7,2,3,6,6,2,4,3,2,5,5,5,4,6,3,4,4,3,2,3,6,1,1,4,4,6,3,2,5,1,2,5,2,1,3,2,2,4
Shan,Sophie Steelandt,27/07/2008,gaetan,1,4,6,2,3,1,4,5,7,7,5,6,5,7,1,3,7,2,3,7,7,4,4,4,5,4,4,6,7,7,2,3,2,5,2,1,7,1,1,5,5,6,4,1,7,2,5,5,2,1,4,1,5,5
Shan,Cedric Sueur,28/10/2008,gaetan,2,4,5,2,5,1,7,6,6,5,5,5,6,2,2,4,6,4,2,7,6,5,4,4,3,3,4,6,4,7,4,6,4,5,2,2,7,1,2,4,6,7,4,2,7,5,3,4,2,2,2,2,3,5
Sherlock,Arianna De Marco,14/05/2013,group4,4,5,3,6,5,1,2,2,4,4,2,2,2,5,5,2,1,5,6,2,2,2,4,3,2,5,3,3,2,3,4,3,3,2,3,7,3,6,7,4,1,4,2,5,2,1,1,3,4,6,2,6,4,4
Sherlock,Andrea Sanna,14/05/2013,group4,2,4,5,5,5,2,3,2,2,2,4,1,1,4,5,4,2,5,2,1,2,4,2,2,4,5,4,4,3,2,5,4,2,3,4,5,4,3,5,4,2,3,4,4,3,1,2,2,5,4,2,5,3,5
Sherlock,Melissa Messinese,14/05/2013,group4,3,1,2,5,5,3,2,1,2,3,6,2,1,2,2,1,1,6,3,1,2,2,2,2,2,5,2,2,1,3,3,2,1,3,4,5,2,3,4,2,2,4,2,4,1,1,2,2,3,1,4,5,2,2
Sherlock,Elena Vero,14/05/2013,group4,5,3,1,7,3,2,1,1,1,2,6,1,2,4,7,1,1,7,2,1,1,1,3,1,1,5,1,1,1,2,3,3,1,2,1,6,1,7,4,5,1,5,5,1,1,1,1,1,6,6,4,6,1,6
Sherlock,Farah Ayari,05/12/2008,group4,2,5,5,6,6,2,5,4,4,4,6,5,5,2,4,6,5,2,2,4,4,7,5,2,4,6,6,3,3,5,2,5,2,2,2,4,6,4,4,6,4,6,7,4,4,4,2,6,3,5,4,2,3,7
Sherlock,Sophie Steelandt,01/05/2009,group4,4,5,4,6,4,1,5,1,4,4,2,3,5,2,6,5,3,5,5,5,5,5,4,4,2,5,5,2,2,5,4,6,5,2,3,3,4,2,4,6,2,6,5,5,4,3,2,5,4,6,3,3,3,3
Sherlock,Claire Pichon,16/03/2009,group4,5,4,4,5,4,4,5,4,4,4,4,3,5,4,4,5,5,4,4,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,1,4,4,5,4,5,4,4,4,4,5,4,1,4,5,4,4
Sherlock,Amandine Leclerc,19/03/2009,group4,4,3,4,5,5,1,5,4,5,4,2,4,5,4,5,6,3,2,4,4,4,6,2,2,4,6,6,4,2,4,4,6,4,2,4,6,4,1,7,5,1,4,6,5,4,4,4,6,2,2,1,5,2,3
Sherlock,Bernard Thierry,11/05/2009,group4,3,5,4,5,4,4,4,4,6,5,2,4,6,5,3,6,4,2,3,3,5,5,5,4,4,5,4,5,5,5,3,4,2,5,5,4,4,4,5,4,6,5,6,4,5,5,4,5,4,5,4,4,4,5
Sibylle,Farah Ayari,05/12/2008,group4,2,7,6,5,3,2,6,4,7,7,4,4,5,3,2,4,5,2,1,5,5,4,6,6,6,4,4,5,5,6,1,4,2,4,2,2,6,2,4,4,4,6,4,2,5,1,4,3,4,3,4,5,4,5
Sibylle,Sophie Steelandt,01/05/2009,group4,5,6,6,4,2,3,6,3,7,7,4,4,3,5,2,3,2,5,2,5,4,3,7,6,4,3,2,6,6,5,1,4,3,7,2,3,5,2,2,5,6,6,4,4,4,2,6,3,4,5,2,2,3,6
Sibylle,Claire Pichon,16/03/2009,group4,4,5,6,4,2,4,5,4,5,6,4,4,4,4,4,4,4,4,4,5,4,4,6,5,4,3,4,5,4,4,4,3,4,5,4,4,6,1,4,4,4,6,5,3,4,4,4,4,3,1,4,3,4,5
Sibylle,Amandine Leclerc,19/03/2009,group4,6,6,5,4,1,1,5,2,6,7,5,4,4,5,3,2,2,4,1,4,4,2,6,6,4,2,2,6,4,5,1,2,3,6,2,3,6,1,7,4,1,6,2,3,4,2,5,2,1,2,1,1,1,6
Sibylle,Bernard Thierry,11/05/2009,group4,3,6,7,4,5,4,5,3,6,7,5,4,3,4,4,3,2,4,2,1,6,4,6,7,5,2,2,6,7,4,2,1,1,7,7,6,4,4,6,2,7,5,5,4,4,3,3,3,4,3,4,5,4,5
Simbad,Arianna De Marco,14/05/2013,group4,3,3,3,6,5,1,2,2,2,2,2,2,3,4,4,2,3,3,6,2,3,2,4,3,2,5,4,4,2,3,5,6,5,2,3,6,3,1,7,4,1,4,3,4,2,6,1,4,2,5,2,4,4,3
Simbad,Andrea Sanna,14/05/2013,group4,2,2,3,4,5,2,3,3,2,4,4,2,5,4,5,4,5,4,4,3,2,4,1,1,4,5,4,4,3,3,6,5,2,3,4,4,4,1,4,4,2,3,4,4,3,4,5,5,2,5,7,5,3,4
Simbad,Melissa Messinese,14/05/2013,group4,3,1,2,5,5,2,2,1,1,1,2,1,3,2,3,5,5,3,6,2,3,3,1,1,1,6,5,2,1,2,3,5,5,2,2,4,2,3,4,5,1,1,3,4,4,3,2,5,1,3,4,3,4,1
Simbad,Elena Vero,14/05/2013,group4,5,1,1,5,4,1,4,3,1,2,2,4,6,5,5,4,7,1,4,2,6,4,1,1,1,7,7,1,1,4,6,4,6,1,6,7,1,1,6,4,1,2,4,1,4,7,1,6,4,2,4,4,4,4
Simbad,Farah Ayari,05/12/2008,group4,5,1,1,5,3,2,5,3,2,2,2,2,5,5,6,5,5,4,6,4,5,4,2,2,2,4,5,4,2,5,6,4,6,3,5,4,3,4,6,4,4,4,2,3,4,5,4,6,6,3,5,4,4,2
Simbad,Sophie Steelandt,01/05/2009,group4,3,3,3,5,4,1,6,2,4,5,2,2,6,4,5,4,6,3,5,5,6,5,3,4,2,4,5,2,2,5,5,4,6,3,3,3,5,1,3,5,3,5,4,4,5,6,2,4,3,4,5,3,3,3
Simbad,Claire Pichon,16/03/2009,group4,6,3,3,6,2,4,4,4,4,4,4,2,4,5,5,4,5,4,5,4,5,4,4,4,3,4,4,4,4,4,6,3,4,4,4,4,4,1,4,4,4,3,4,5,4,5,4,5,5,1,4,3,4,4
Simbad,Amandine Leclerc,19/03/2009,group4,4,2,2,7,4,1,3,1,2,2,2,4,5,5,6,4,5,3,6,4,4,4,1,1,4,6,4,4,2,2,5,6,4,2,4,6,2,2,7,4,1,2,4,5,4,6,4,5,5,2,1,2,1,3
Simbad,Bernard Thierry,11/05/2009,group4,4,4,4,6,5,5,5,5,5,4,1,4,6,6,5,6,5,2,4,4,4,5,4,3,4,6,5,5,5,5,4,5,5,4,5,5,4,4,5,5,4,4,4,4,4,6,5,5,4,6,4,3,6,3
Sophie,Arianna De Marco,14/05/2013,group2,1,7,6,1,2,1,7,7,7,7,7,7,7,5,1,3,1,1,1,5,5,2,7,7,7,2,6,7,6,6,1,2,5,5,3,4,7,1,3,5,7,6,6,4,5,1,3,4,6,3,2,2,4,5
Sophie,Andrea Sanna,14/05/2013,group2,2,6,4,2,2,1,4,5,6,5,6,4,6,5,2,4,4,1,2,4,6,3,6,5,6,3,4,4,5,5,1,2,3,5,4,2,4,1,2,4,6,4,3,4,4,1,5,3,2,2,4,2,3,5
Sophie,Melissa Messinese,14/05/2013,group2,1,5,6,2,6,1,5,2,7,5,1,1,5,1,1,2,3,2,2,2,3,2,6,5,3,3,3,5,6,5,1,2,5,7,3,2,6,2,4,5,6,3,6,4,2,1,6,5,3,2,4,5,3,2
Soqquadro,Arianna De Marco,14/05/2013,group2,3,5,6,2,3,1,6,6,6,5,6,6,5,2,1,2,6,2,3,6,6,2,5,5,5,3,4,6,5,7,2,4,5,3,3,3,5,1,3,4,3,7,4,2,6,1,2,5,3,1,2,3,4,5
Soqquadro,Andrea Sanna,14/05/2013,group2,1,6,5,2,2,1,5,6,5,6,6,5,6,5,2,4,6,2,2,5,6,4,6,6,4,3,4,5,5,6,2,2,3,4,4,3,4,1,2,4,5,4,4,5,6,1,6,5,2,2,6,2,4,3
Soqquadro,Melissa Messinese,14/05/2013,group2,2,1,2,5,2,1,2,2,5,3,1,3,5,6,3,1,5,2,3,3,5,2,5,2,2,2,2,5,5,6,2,1,2,5,1,1,5,1,4,3,5,3,3,2,3,1,3,5,3,1,1,1,3,2
Sostrato,Arianna De Marco,14/05/2013,group2,4,4,4,3,4,1,5,3,4,3,4,4,5,4,3,2,7,2,4,4,6,2,3,4,2,4,4,4,3,5,3,5,6,2,3,2,2,1,2,4,1,5,1,4,4,1,2,5,2,1,2,3,4,2
Sostrato,Andrea Sanna,14/05/2013,group2,5,2,4,4,5,1,3,2,2,4,4,3,3,4,3,4,5,2,2,3,3,4,2,2,4,4,4,4,3,3,4,5,3,3,4,4,4,1,4,4,4,4,4,4,4,1,2,4,3,2,5,5,4,4
Sostrato,Melissa Messinese,14/05/2013,group2,2,1,2,7,2,1,2,1,3,2,1,1,5,6,3,2,5,2,3,3,5,2,2,2,2,3,6,2,2,5,3,5,5,1,2,2,4,2,4,3,1,3,2,4,4,2,4,5,3,2,4,5,3,2
Sybille,Arianna De Marco,14/05/2013,group4,6,2,4,6,4,1,4,2,2,2,2,2,6,4,4,3,1,2,6,4,4,2,2,2,2,6,5,4,2,5,6,4,7,2,3,5,4,1,5,4,1,4,6,4,4,1,1,6,4,4,2,4,4,3
Sybille,Andrea Sanna,14/05/2013,group4,4,2,4,4,5,1,4,3,2,2,4,2,3,4,4,4,4,3,4,3,4,4,1,1,4,5,4,4,4,2,6,5,3,3,4,4,4,1,4,4,2,4,4,4,3,1,2,4,5,3,2,4,3,3
Sybille,Melissa Messinese,14/05/2013,group4,6,1,2,6,2,1,5,1,1,2,1,1,5,3,6,5,5,2,5,1,3,5,2,1,1,3,6,2,2,5,5,2,5,2,4,4,1,3,4,5,1,4,6,4,2,3,2,6,5,2,4,1,1,2
Sybille,Elena Vero,14/05/2013,group4,6,1,1,7,2,1,1,1,1,4,2,1,5,4,6,5,3,2,7,4,4,4,1,1,1,4,5,1,4,3,7,2,5,2,1,6,2,2,4,6,1,6,5,1,5,4,4,4,6,2,1,2,4,2
Tanya,Arianna De Marco,14/05/2013,group4,5,4,5,4,5,1,4,3,2,2,2,3,6,3,3,3,1,2,4,5,5,2,2,4,2,6,5,3,2,6,4,5,6,2,3,5,4,1,5,4,1,5,6,3,5,1,1,6,3,3,2,5,4,5
Tanya,Andrea Sanna,14/05/2013,group4,3,4,4,4,4,1,4,4,4,5,4,2,4,4,3,4,4,2,3,4,5,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,1,4,4,3,4,4,4,4,1,3,4,2,3,4,4,3,4
Tanya,Melissa Messinese,14/05/2013,group4,3,3,5,3,5,1,5,1,5,5,2,3,5,3,3,3,5,2,3,2,5,5,3,3,2,3,5,3,3,5,3,2,6,6,3,4,5,2,4,5,3,4,6,4,2,1,5,6,5,1,4,1,4,1
Tanya,Elena Vero,14/05/2013,group4,6,1,2,5,3,1,3,2,3,4,3,4,4,4,5,4,4,3,5,4,5,4,2,2,1,4,5,1,4,4,2,2,5,2,2,4,2,2,4,5,1,5,2,1,4,1,1,5,4,2,1,4,4,4
Tanya,Farah Ayari,05/12/2008,group4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanya,Sophie Steelandt,01/05/2009,group4,1,3,6,2,3,1,7,6,5,5,5,5,6,6,1,5,5,3,6,5,6,4,2,5,4,3,5,6,6,6,4,3,4,5,4,6,7,1,1,4,5,6,4,4,5,4,2,4,4,2,5,2,4,3
Tanya,Claire Pichon,16/03/2009,group4,6,3,4,5,3,4,5,4,4,4,4,3,4,4,4,4,6,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,1,4,4,4,4
Tanya,Amandine Leclerc,19/03/2009,group4,4,1,4,4,4,1,4,4,4,2,4,4,3,4,4,4,5,4,4,4,4,5,1,2,4,6,5,4,2,4,5,4,4,2,4,4,4,2,7,4,1,4,4,4,4,4,4,4,4,2,1,4,1,4
Tanya,Bernard Thierry,11/05/2009,group4,5,3,4,6,5,4,4,4,4,4,1,4,4,4,6,6,4,4,5,4,4,5,2,3,4,5,4,4,3,4,5,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4
Thethys,Arianna De Marco,14/05/2013,group4,4,6,4,3,2,1,6,5,6,6,2,5,7,5,5,3,1,1,2,2,4,2,6,7,6,2,6,5,6,4,2,3,7,6,3,5,6,1,3,4,3,4,6,4,2,1,3,5,5,4,2,3,4,3
Thethys,Andrea Sanna,14/05/2013,group4,7,5,4,5,3,1,2,4,5,5,4,2,5,4,4,4,4,2,3,1,4,4,5,5,4,3,4,5,5,3,1,3,3,3,4,4,4,1,4,4,3,4,5,4,3,1,4,4,5,4,4,3,3,3
Thethys,Melissa Messinese,14/05/2013,group4,5,6,6,5,2,1,3,3,5,3,1,2,6,3,3,3,5,1,3,2,2,1,3,3,3,3,5,2,5,3,2,2,5,5,4,4,5,2,4,5,5,3,5,4,4,1,6,5,5,1,4,1,4,2
Thethys,Farah Ayari,05/12/2008,group4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thethys,Sophie Steelandt,01/05/2009,group4,7,1,1,7,3,1,2,1,2,2,6,1,3,3,7,5,1,7,7,3,2,5,1,2,4,6,5,1,2,3,7,6,6,1,4,6,4,5,6,4,2,4,3,4,4,4,1,6,5,6,4,4,4,3
Thethys,Claire Pichon,16/03/2009,group4,6,3,3,5,3,4,5,4,4,4,4,3,4,4,4,4,6,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,5,4,4,4,5,4,1,4,4,4,4
Thethys,Amandine Leclerc,19/03/2009,group4,5,1,2,5,3,1,4,5,5,3,4,4,3,4,5,4,5,5,6,4,4,5,1,4,4,6,5,5,2,4,5,3,4,4,4,4,4,1,7,4,2,4,4,4,4,4,4,4,5,2,1,2,1,4
Thethys,Bernard Thierry,11/05/2009,group4,6,1,4,6,6,4,3,4,4,4,6,4,4,4,7,6,4,6,6,4,3,5,2,1,4,6,5,4,3,4,6,7,3,4,4,4,4,5,5,6,2,4,3,4,4,4,4,4,5,4,4,3,4,5
Thethys,Elena Vero,14/05/2013,group4,3,4,5,4,4,1,4,4,5,6,1,5,5,4,2,4,5,1,2,4,5,4,6,5,1,1,5,1,5,5,3,3,6,5,2,3,6,1,4,5,1,5,4,1,4,5,7,5,4,2,1,4,4,2
Uttar,Arianna De Marco,14/05/2013,group4,2,6,7,1,2,1,7,7,7,7,6,7,5,5,2,2,5,3,2,7,7,2,7,6,7,3,4,7,6,7,2,2,5,5,3,3,7,1,2,4,7,7,5,4,7,1,3,4,6,1,5,1,4,6
Uttar,Andrea Sanna,14/05/2013,group4,1,6,6,2,2,1,6,6,6,6,6,6,6,5,2,4,6,1,2,7,7,4,6,4,5,2,4,5,6,7,1,3,2,4,4,2,4,1,1,4,6,5,4,5,6,1,6,5,2,2,6,2,4,4
Uttar,Melissa Messinese,14/05/2013,group4,1,6,6,2,2,1,3,6,7,5,2,6,5,7,2,1,6,2,2,5,5,2,5,5,3,2,3,6,6,7,2,1,5,6,1,6,7,2,4,3,6,6,2,4,7,3,6,3,7,1,4,1,1,2
Uttar,Elena Vero,14/05/2013,group4,2,6,7,1,1,1,7,7,7,7,1,7,5,7,1,4,6,2,3,7,7,2,7,4,5,2,3,7,7,7,2,1,4,6,2,6,7,1,4,5,7,6,6,1,7,6,5,5,6,1,1,1,4,1
Uttar,Farah Ayari,05/12/2008,group4,6,2,1,6,2,5,3,2,2,2,1,5,5,5,6,5,6,2,6,2,5,2,1,1,2,7,7,4,2,3,6,6,7,1,3,4,1,4,6,4,1,3,2,6,3,4,2,6,6,2,4,1,6,1
Uttar,Sophie Steelandt,01/05/2009,group4,5,1,4,5,4,2,6,5,4,5,3,3,5,6,2,5,5,1,6,5,6,4,1,3,5,4,5,4,5,4,5,4,6,3,4,6,5,2,2,4,4,4,5,4,4,4,2,6,5,2,4,3,4,2
Uttar,Claire Pichon,16/03/2009,group4,6,3,3,6,2,4,5,4,4,4,4,3,4,4,5,4,6,4,4,5,4,4,4,4,4,4,5,4,4,4,4,3,5,4,4,4,4,1,4,4,4,4,4,5,4,4,4,5,5,1,4,3,5,3
Uttar,Amandine Leclerc,19/03/2009,group4,6,1,2,7,4,1,2,1,1,1,2,4,4,4,7,4,5,1,6,4,4,4,1,1,4,6,7,5,2,1,6,3,6,2,4,6,4,1,7,4,1,4,4,4,4,4,4,4,6,2,1,2,2,2
Uttar,Bernard Thierry,11/05/2009,group4,5,2,4,6,5,4,4,4,4,4,1,4,6,6,5,6,5,2,5,4,6,5,3,4,4,5,4,5,5,4,5,4,5,4,4,5,4,4,5,4,4,4,3,4,4,4,5,5,4,3,4,3,6,3
