Subject,ID,,Colony,DOB,Date of Death/Removal,Reason for Removal,,,Date of Last Update,Status
Abby,C0726,,Yerkes,11/05/1995,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Ada,C0320,,Yerkes,01/01/1955,27/06/1994,Death,,,27/06/1994,Death
Agatha,C0700,,Yerkes,21/01/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Alice,C0358,,Yerkes,01/01/1961,14/10/1999,Death,,,14/10/1999,Death
Alicia,C0646,,Yerkes,26/06/1989,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,18/03/2011,Alive
Amanda,C0684,,Yerkes,15/06/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Amos,C0495,,Yerkes,19/11/1981,16/07/2010,Death,,,16/07/2010,Death
Angela,C0436,,Yerkes,17/09/1971,07/03/1997,Death,,,07/03/1997,Death
Anja,C0554,,Yerkes,09/01/1980,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Anna,C0408,,Yerkes,01/01/1955,27/04/2000,Death,,,27/04/2000,Death
Artemus,C0599,,Yerkes,18/12/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Arthur,C0601,,Yerkes,21/05/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Artifact,C0451,,Yerkes,21/06/1979,07/05/1998,Death,,,07/05/1998,Death
Artifee,C0520,,Yerkes,24/07/1976,15/09/2004,Death,,,15/09/2004,Death
Atlanta,C0342,,Yerkes,10/08/1965,21/12/2000,Death,,,21/12/2000,Death
Augusta,C0510,,Yerkes,01/08/1975,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive
Austin,,,Yerkes,10/07/1974,22/09/1992,Removal to GSU,Died 1/17/2002,,17/01/2002,Death
Azalea,c0746,,Yerkes,07/03/1997,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barbara,C0462,,Yerkes,16/12/1972,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barbi,C0518,,Yerkes,14/06/1976,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Barney,c0575,,Yerkes,06/05/1989,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive
Beleka,C0380,,Yerkes,01/01/1962,20/03/2006,Death,,,20/03/2006,Death
Bertha,C0530,,Yerkes,05/03/1977,15/07/1997,Death,,,15/07/1997,Death
Bjorn,C0563,,Yerkes,16/07/1988,01/05/2007,Death,,,01/05/2007,Death
Bo,C0490,,Yerkes,01/01/1969,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Boisfeul,C0369,,Yerkes,14/12/1971,15/12/2003,Death,,,15/12/2003,Death
Boka,C0200,,Yerkes,11/11/1959,29/01/2007,Death,,,29/01/2007,Death
Borie,C0454,,Yerkes,01/01/1964,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Brandy,C0592,,Yerkes,26/04/1985,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Brent,C0415,,Yerkes,20/01/1976,16/05/2006,Removal to Chimp Haven,Alive as of 3/18/2011,,16/05/2006,Alive
Brian,C0449,,Yerkes,31/03/1979,14/10/1998,Removed to Morelia Zoo,Status Unknown,,14/10/1998,LTF
Brooks,C0619,,Yerkes,10/11/1992,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Buffy,C0578,,Yerkes,02/01/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Callie,C0676,,Yerkes,18/02/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Carl,C0527,,Yerkes,21/05/1986,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Carmichael,C0503,,Yerkes,21/03/1983,29/09/2010,Death,,,29/09/2010,Death
Cathy,C0652,,Yerkes,05/10/1989,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Cheeta,C0438,,Yerkes,01/01/1957,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Cheri,C0242,,Yerkes,01/01/1955,02/12/1995,Death,,,02/12/1995,Death
Christa,C0730,,Yerkes,01/06/1995,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Cissie,C0526,,Yerkes,28/11/1976,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Claus,C0621,,Yerkes,25/12/1992,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive
Clint,C0471,,Yerkes,06/06/1980,02/08/2004,Death,,,02/08/2004,Death
Colombus,C0433,,Yerkes,10/10/1977,04/01/2000,Death,,,04/01/2000,Death
Conan,C0521,,Yerkes,03/01/1986,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive
Cynthia,C0558,,Yerkes,07/06/1980,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Daisey,C0650,,Yerkes,01/10/1989,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Dara,C0624,,Yerkes,16/06/1988,None,Alive as of 3/18/2011,,,18/03/2011,Alive
David,C0431,,Yerkes,27/06/1977,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Dobbs,C0273,,Yerkes,01/01/1961,28/03/2001,Death,,,28/03/2001,Death
Dona,C0658,,Yerkes,03/04/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Donald,C0551,,Yerkes,15/10/1987,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Dover,C0645,,Yerkes,25/02/1994,22/07/2004,Death,,,22/07/2004,Death
Duff,C0591,,Yerkes,08/02/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Edwina,C0682,,Yerkes,28/05/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Ellie,C0452,,Yerkes,14/08/1972,06/04/2005,Removal to Chimp Haven,Died 3/20/2010,,20/03/2010,Death
Elvira,C0632,,Yerkes,31/10/1988,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Elwood,C0593,,Yerkes,19/02/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Erika,C0500,,Yerkes,20/10/1973,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Evelyne,C0686,,Yerkes,04/09/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Faye,C0694,,Yerkes,22/06/1992,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Fiona,C0722,,Yerkes,05/12/1994,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Flora,C0100,,Yerkes,01/01/1954,09/05/1996,Death,,,09/05/1996,Death
Foxy,C0382,,Yerkes,10/12/1967,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Francisc,c0414,,Yerkes,01/01/1959,12/07/1994,Death,,,12/07/1994,Death
Frannie,C0696,,Yerkes,26/10/1992,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Fritz,C0561,,Yerkes,14/07/1988,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Garbo,C0168,,Yerkes,10/12/1953,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive
Gay,C046A,,Yerkes,01/01/1967,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive
Gelb,C0505,,Yerkes,18/04/1983,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Georgia,C0562,,Yerkes,27/08/1980,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Grayson,c0655,,Yerkes,22/05/1997,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF
Gwennie,c0506,,Yerkes,01/01/1969,21/04/2005,Removal to Chimp Haven,Died 1/19/2010,,19/01/2010,Death
Heppie,C0400,,Yerkes,08/05/1969,04/11/2009,Death,,,04/11/2009,Death
Hoboh,C0367,,Yerkes,01/01/1959,24/03/2000,Death,,,24/03/2000,Death
Hunter,C0511,,Yerkes,03/08/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Iyk,C0317,,Yerkes,01/08/1962,25/04/2006,Death,,,25/04/2006,Death
Jacqueli,C0524,,Yerkes,16/10/1976,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Jaimie,C0728,,Yerkes,17/05/1995,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Jarred,C0549,,Yerkes,21/09/1987,12/02/2010,Death,,,12/02/2010,Death
Jeanie,C0494,,Yerkes,01/01/1969,14/12/2005,Death,,,14/12/2005,Death
Jenda,C0188,,Yerkes,14/02/1958,15/01/2006,Death,,,15/01/2006,Death
Jennifere,c0480,,Yerkes,01/01/1963,03/01/2001,Death,,,03/01/2001,Death
Jenny,C0090,,Yerkes,24/02/1940,10/02/1998,Death,,,10/02/1998,Death
Jesse,C0572,,Yerkes,14/08/1982,17/10/2003,Death,,,17/10/2003,Death
Jewelle,C0688,,Yerkes,09/03/1992,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Jimmy Carter,,,Yerkes,21/01/1977,06/04/2005,Death,,,06/04/2005,Death
Jimoh,C0381,,Yerkes,01/01/1964,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive
Jolson,C0623,,Yerkes,10/01/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Joseph,C0475,,Yerkes,25/11/1980,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Juan,c0299,,Yerkes,23/02/1968,21/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,21/04/2005,Alive
Julianne,c0750,,Yerkes,15/05/1998,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Julie,C0718,,Yerkes,29/08/1994,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Justin,C0529,,Yerkes,01/08/1986,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Kasey,C0598,,Yerkes,13/05/1986,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Katrina,C0604,,Yerkes,26/07/1987,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Kengee,C0616,,Yerkes,01/06/1988,02/04/2010,Death,,,02/04/2010,Death
Kevin,C0595,,Yerkes,08/07/1990,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Lamar,C0555,,Yerkes,27/04/1988,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lana,C0430,,Yerkes,07/10/1970,22/09/1992,"Removal to GSU, Alive",* known to be alive,,22/09/1992,Alive
Lee,C0576,,Yerkes,29/12/1983,30/01/2003,Death,,,30/01/2003,Death
Lena,C0516,,Yerkes,29/02/1976,16/02/2010,Death,,,16/02/2010,Death
Les,C0407,,Yerkes,08/09/1975,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive
Leslie,C0538,,Yerkes,01/01/1970,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lilone,C0488,,Yerkes,01/01/1969,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lindsey,C0710,,Yerkes,10/02/1994,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Liza,C0714,,Yerkes,19/03/1994,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lizzie,C0668,,Yerkes,06/08/1990,01/11/2004,Removal to New Iberia,,,01/11/2004,Alive
Lolita,C0222,,Yerkes,01/08/1959,21/04/2005,Removal to Chimp Haven,Died 11/15/2010,,15/11/2010,Death
Lucas,C0631,,Yerkes,22/03/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lucy,c0336,,Yerkes,01/07/1956,04/12/2000,Death,,,04/12/2000,Death
Lulu,C0476,,Yerkes,01/01/1957,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Luther,C0589,,Yerkes,14/01/1990,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lux,C0485,,Yerkes,16/08/1981,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Lyons,C0509,,Yerkes,03/08/1984,17/05/2005,Removal to Chimp Haven,Died 4/16/2007,,16/04/2007,Death
Magnum,C0581,,Yerkes,08/07/1989,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive
Mai,C0456,,Yerkes,01/01/1964,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Marietta,C0472,,Yerkes,03/08/1973,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Marilyne,C0434,,Yerkes,13/01/1971,23/10/2000,Death,,,23/10/2000,Death
Martha,C0204,,Yerkes,07/07/1960,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Mary,C0202,,Yerkes,07/07/1960,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Mason,C0515,,Yerkes,18/09/1984,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive
Maxine,C0338,,Yerkes,10/02/1957,13/12/2010,Death,,,13/12/2010,Death
Mega,C0586,,Yerkes,27/11/1984,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Melinda,C0574,,Yerkes,30/10/1982,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Melissa,C0568,,Yerkes,27/06/1981,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Merv,C0413,,Yerkes,06/01/1976,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive
Missy,C0706,,Yerkes,08/07/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Morgan,c0651,,Yerkes,11/04/1996,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Mortimer,C0423,,Yerkes,20/12/1976,13/02/2002,Death,,,13/02/2002,Death
Natasha,C0612,,Yerkes,19/12/1987,23/02/2004,Death,,,23/02/2004,Death
Ossobaw,C0421,,Yerkes,17/11/1976,09/02/2004,Death,,,09/02/2004,Death
Panzee,C0596,,Yerkes,31/12/1985,22/09/1992,"Removal to GSU, Alive",,,09/02/2014,Death
Patrick,C0639,,Yerkes,14/07/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Peony,C0522,,Yerkes,01/01/1968,04/01/2010,Death,,,04/01/2010,Death
Phillip,C0429,,Yerkes,30/04/1977,10/06/2002,Death,,,10/06/2002,Death
Phineas,c061A,,Yerkes,01/01/1966,07/03/2004,Death,,,07/03/2004,Death
Polyanna,C0640,,Yerkes,17/02/1989,13/12/2003,Death,,,13/12/2003,Death
Puddin,C0447,,Yerkes,23/12/1978,06/04/2005,Removal to Chimp Haven,Died 11/30/2010,,30/11/2010,Death
Ranette,C0610,,Yerkes,17/12/1987,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Reba,C0190,,Yerkes,03/11/1958,02/01/2003,Death,,,02/01/2003,Death
Rebecca,C0680,,Yerkes,20/05/1991,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Rhett,C0573,,Yerkes,20/04/1989,13/02/2005,Death,,,13/02/2005,Death
Rogger,C0389,,Yerkes,01/01/1969,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Ronald,C0557,,Yerkes,04/05/1988,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF
Rosemary,C0712,,Yerkes,11/02/1994,01/11/2004,Removal to New Iberia,,,01/11/2004,LTF
Rowena,C0628,,Yerkes,13/08/1988,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Sabrina,C0536,,Yerkes,16/10/1978,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Sam,C0501,,Yerkes,19/05/1982,08/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,08/02/2005,Alive
Samantha,C0748,,Yerkes,28/08/1997,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Scott,C0545,,Yerkes,23/06/1987,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Sean,C0609,,Yerkes,16/03/1992,22/02/2005,Removal to SW Foundation,Alive as of 3/18/2011,,22/02/2005,Alive
Sellers,C0507,,Yerkes,18/12/1983,11/06/2001,Death,,,11/06/2001,Death
Sheena,,,Yerkes,20/01/1989,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Sheila,,,Yerkes,19/03/1972,17/05/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,17/05/2005,Alive
Shirley,C0588,,Yerkes,11/01/1985,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Socrates,C0537,,Yerkes,23/01/1987,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Sonia,C0406,,Yerkes,01/11/1959,05/06/2001,Death,,,05/06/2001,Death
Sparkle,C0478,,Yerkes,01/01/1955,21/11/1995,Death,,,21/11/1995,Death
Storer,C0491,,Yerkes,19/11/1991,27/04/2000,Death,,,27/04/2000,Death
Suwanee,C0590,,Yerkes,17/02/1985,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Suzanna,C0514,,Yerkes,25/02/1976,06/04/2005,Removal to Chimp Haven,Alive as of 3/18/2011,,06/04/2005,Alive
Sylvia,C0708,,Yerkes,19/07/1993,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Tai,C0492,,Yerkes,01/01/1967,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Tank,C0525,,Yerkes,18/02/1986,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Tara,C0736,,Yerkes,05/09/1995,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Travis,C0583,,Yerkes,02/08/1989,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Vivienne,C0498,,Yerkes,27/07/1974,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Waga,C0570,,Yerkes,19/03/1982,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Walnut,c0409,,Yerkes,01/01/1965,22/03/1994,Death,,,22/03/1994,Death
Wenka,C0170,,Yerkes,21/05/1954,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Wilma,C0630,,Yerkes,27/10/1988,19/12/2001,Death,,,19/12/2001,Death
Wilson,c0647,,Yerkes,09/03/1994,01/11/2004,Removal to New Iberia,Alive as of 3/18/2011,,01/11/2004,Alive
Winston,C0535,,Yerkes,12/01/1987,None,Alive as of 3/18/2011,,,18/03/2011,Alive
Woodruff,C0405,,Yerkes,22/07/1975,17/05/2005,Removal to Chimp Haven,Died 9/3/2009,,03/09/2009,Death
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
